date,temperature
2023-06-10,16.4
2023-06-11,35.2
2023-06-12,15.6
2023-06-13,26.3
2023-06-14,13.4
2023-06-15,10.5
2023-06-16,21.7
2023-06-17,15.1
2023-06-18,10.0
2023-06-19,23.3
2023-06-20,26.7
2023-06-21,25.7
2023-06-22,25.9
2023-06-23,11.4
2023-06-24,10.5
2023-06-25,27.7
2023-06-26,32.5
2023-06-27,28.4
2023-06-28,19.0
2023-06-29,10.4
2023-06-30,18.0
2023-07-01,34.6
2023-07-02,37.7
2023-07-03,30.8
2023-07-04,13.9
2023-07-05,29.9
2023-07-06,26.6
2023-07-07,36.6
2023-07-08,24.9
2023-07-09,16.3
2023-07-10,33.1
2023-07-11,22.2
2023-07-12,34.7
2023-07-13,11.6
2023-07-14,36.2
2023-07-15,16.3
2023-07-16,24.7
2023-07-17,20.1
2023-07-18,25.1
2023-07-19,12.6
2023-07-20,18.1
2023-07-21,18.4
2023-07-22,13.2
2023-07-23,15.8
2023-07-24,19.1
2023-07-25,37.1
2023-07-26,23.4
2023-07-27,15.2
2023-07-28,14.8
2023-07-29,37.9
2023-07-30,26.8
2023-07-31,14.9
2023-08-01,21.8
2023-08-02,14.9
2023-08-03,38.1
2023-08-04,32.9
2023-08-05,27.6
2023-08-06,38.8
2023-08-07,31.1
2023-08-08,27.9
2023-08-09,16.8
2023-08-10,24.7
2023-08-11,29.0
2023-08-12,17.1
2023-08-13,24.7
2023-08-14,15.3
2023-08-15,20.2
2023-08-16,25.6
2023-08-17,12.8
2023-08-18,10.3
2023-08-19,12.7
2023-08-20,10.1
2023-08-21,38.2
2023-08-22,14.5
2023-08-23,15.7
2023-08-24,15.1
2023-08-25,10.7
2023-08-26,13.4
2023-08-27,25.8
2023-08-28,38.8
2023-08-29,29.5
2023-08-30,35.8
2023-08-31,23.2
2023-09-01,22.4
2023-09-02,20.3
2023-09-03,31.6
2023-09-04,11.3
2023-09-05,25.9
2023-09-06,30.0
2023-09-07,36.4
2023-09-08,14.2
2023-09-09,15.2
2023-09-10,23.9
2023-09-11,14.9
2023-09-12,34.4
2023-09-13,34.3
2023-09-14,33.9
2023-09-15,16.5
2023-09-16,16.9
2023-09-17,35.5
2023-09-18,35.7
2023-09-19,24.7
2023-09-20,20.5
2023-09-21,30.6
2023-09-22,30.7
2023-09-23,24.4
2023-09-24,13.0
2023-09-25,29.8
2023-09-26,28.7
2023-09-27,17.4
2023-09-28,35.1
2023-09-29,23.0
2023-09-30,12.1
2023-10-01,28.6
2023-10-02,18.1
2023-10-03,37.9
2023-10-04,22.7
2023-10-05,21.6
2023-10-06,37.4
2023-10-07,36.2
2023-10-08,25.6
2023-10-09,10.2
2023-10-10,13.1
2023-10-11,22.4
2023-10-12,25.0
2023-10-13,27.2
2023-10-14,18.2
2023-10-15,24.6
2023-10-16,16.8
2023-10-17,39.3
2023-10-18,11.9
2023-10-19,14.4
2023-10-20,12.7
2023-10-21,18.4
2023-10-22,20.8
2023-10-23,26.7
2023-10-24,12.3
2023-10-25,31.9
2023-10-26,15.5
2023-10-27,34.5
2023-10-28,11.0
