date,temperature
2023-06-10,11.1
2023-06-11,16.2
2023-06-12,0.4
2023-06-13,9.7
2023-06-14,19.5
2023-06-15,2.5
2023-06-16,2.2
2023-06-17,21.4
2023-06-18,1.9
2023-06-19,16.8
2023-06-20,22.1
2023-06-21,10.9
2023-06-22,15.0
2023-06-23,0.7
2023-06-24,22.1
2023-06-25,8.1
2023-06-26,22.1
2023-06-27,3.5
2023-06-28,24.7
2023-06-29,21.5
2023-06-30,11.9
2023-07-01,9.4
2023-07-02,22.0
2023-07-03,7.4
2023-07-04,11.2
2023-07-05,10.6
2023-07-06,18.1
2023-07-07,24.6
2023-07-08,16.7
2023-07-09,6.9
2023-07-10,19.3
2023-07-11,18.7
2023-07-12,1.7
2023-07-13,24.4
2023-07-14,4.9
2023-07-15,23.7
2023-07-16,12.1
2023-07-17,3.4
2023-07-18,4.1
2023-07-19,3.9
2023-07-20,25.0
2023-07-21,3.5
2023-07-22,4.1
2023-07-23,12.0
2023-07-24,4.4
2023-07-25,13.5
2023-07-26,1.0
2023-07-27,17.3
2023-07-28,19.3
2023-07-29,11.2
2023-07-30,9.1
2023-07-31,23.5
2023-08-01,20.3
2023-08-02,19.1
2023-08-03,22.2
2023-08-04,13.0
2023-08-05,10.3
2023-08-06,0.3
2023-08-07,20.6
2023-08-08,11.8
2023-08-09,11.8
2023-08-10,6.1
2023-08-11,12.4
2023-08-12,16.0
2023-08-13,11.2
2023-08-14,16.9
2023-08-15,21.0
2023-08-16,5.2
2023-08-17,19.4
2023-08-18,23.6
2023-08-19,14.8
2023-08-20,18.4
2023-08-21,0.5
2023-08-22,22.0
2023-08-23,12.4
2023-08-24,5.8
2023-08-25,13.6
2023-08-26,21.9
2023-08-27,9.3
2023-08-28,18.6
2023-08-29,21.4
2023-08-30,22.4
2023-08-31,2.2
2023-09-01,22.9
2023-09-02,0.0
2023-09-03,14.7
2023-09-04,3.4
2023-09-05,8.0
2023-09-06,7.1
2023-09-07,10.0
2023-09-08,11.3
2023-09-09,21.2
2023-09-10,4.7
2023-09-11,4.3
2023-09-12,3.9
2023-09-13,8.1
2023-09-14,12.4
2023-09-15,4.2
