date,temperature
2023-06-10,27.0
2023-06-11,34.2
2023-06-12,29.1
2023-06-13,27.6
2023-06-14,27.9
2023-06-15,17.0
2023-06-16,21.3
2023-06-17,27.9
2023-06-18,26.4
2023-06-19,30.5
2023-06-20,34.3
2023-06-21,26.3
2023-06-22,21.6
2023-06-23,23.6
2023-06-24,32.1
2023-06-25,20.6
2023-06-26,28.1
2023-06-27,30.0
2023-06-28,25.9
2023-06-29,25.6
2023-06-30,20.2
2023-07-01,23.7
2023-07-02,16.7
2023-07-03,34.6
2023-07-04,20.3
2023-07-05,17.6
2023-07-06,32.7
2023-07-07,18.4
2023-07-08,26.7
2023-07-09,34.6
2023-07-10,24.8
2023-07-11,22.4
2023-07-12,31.8
2023-07-13,31.0
2023-07-14,21.4
2023-07-15,25.3
2023-07-16,17.0
2023-07-17,28.2
2023-07-18,33.9
2023-07-19,26.1
2023-07-20,33.3
2023-07-21,17.2
2023-07-22,34.7
2023-07-23,21.1
2023-07-24,18.9
2023-07-25,16.8
2023-07-26,30.5
2023-07-27,27.6
2023-07-28,17.5
2023-07-29,30.3
2023-07-30,24.1
2023-07-31,18.9
2023-08-01,25.8
2023-08-02,34.7
2023-08-03,26.2
2023-08-04,25.4
2023-08-05,28.0
2023-08-06,21.2
2023-08-07,32.6
2023-08-08,20.7
2023-08-09,31.2
2023-08-10,33.1
2023-08-11,21.3
2023-08-12,26.4
2023-08-13,33.1
2023-08-14,31.6
2023-08-15,20.7
2023-08-16,33.5
2023-08-17,20.9
2023-08-18,18.6
2023-08-19,21.6
2023-08-20,25.7
2023-08-21,18.7
2023-08-22,35.0
2023-08-23,28.2
2023-08-24,26.3
2023-08-25,20.5
2023-08-26,31.6
2023-08-27,27.0
2023-08-28,22.6
2023-08-29,22.5
2023-08-30,18.8
2023-08-31,24.8
2023-09-01,24.7
2023-09-02,19.8
2023-09-03,29.8
2023-09-04,18.2
2023-09-05,25.0
2023-09-06,17.6
2023-09-07,19.6
2023-09-08,23.9
2023-09-09,32.6
2023-09-10,16.8
2023-09-11,24.9
2023-09-12,28.7
2023-09-13,22.5
2023-09-14,33.8
2023-09-15,16.2
2023-09-16,26.0
2023-09-17,24.7
2023-09-18,30.1
2023-09-19,16.6
2023-09-20,18.9
2023-09-21,22.1
2023-09-22,20.1
2023-09-23,26.5
2023-09-24,18.9
2023-09-25,20.5
2023-09-26,16.3
2023-09-27,24.6
2023-09-28,34.4
2023-09-29,16.7
2023-09-30,34.4
2023-10-01,28.7
2023-10-02,31.3
2023-10-03,28.8
2023-10-04,27.7
2023-10-05,16.1
2023-10-06,18.4
2023-10-07,33.7
2023-10-08,31.6
2023-10-09,19.7
2023-10-10,17.3
2023-10-11,22.5
2023-10-12,24.1
2023-10-13,15.4
2023-10-14,33.1
2023-10-15,33.0
2023-10-16,21.3
2023-10-17,22.1
2023-10-18,30.3
2023-10-19,17.8
2023-10-20,32.2
2023-10-21,27.7
2023-10-22,29.9
2023-10-23,16.4
2023-10-24,27.5
2023-10-25,33.4
2023-10-26,19.6
2023-10-27,16.1
2023-10-28,34.5
2023-10-29,27.9
2023-10-30,17.0
2023-10-31,30.0
2023-11-01,15.1
2023-11-02,18.5
2023-11-03,21.9
2023-11-04,16.0
2023-11-05,26.7
2023-11-06,16.3
2023-11-07,30.2
2023-11-08,17.1
2023-11-09,21.4
2023-11-10,21.2
2023-11-11,23.9
2023-11-12,33.1
2023-11-13,33.0
2023-11-14,27.9
2023-11-15,29.6
2023-11-16,23.2
2023-11-17,23.9
2023-11-18,20.5
2023-11-19,22.9
2023-11-20,29.6
2023-11-21,29.3
2023-11-22,30.5
2023-11-23,33.5
2023-11-24,34.5
2023-11-25,34.6
2023-11-26,27.0
2023-11-27,16.3
2023-11-28,30.3
2023-11-29,29.5
2023-11-30,25.1
2023-12-01,25.5
2023-12-02,34.8
2023-12-03,21.4
2023-12-04,28.3
2023-12-05,32.4
2023-12-06,32.7
2023-12-07,18.1
2023-12-08,16.2
2023-12-09,30.7
2023-12-10,23.9
2023-12-11,29.3
2023-12-12,25.0
2023-12-13,30.7
2023-12-14,17.8
2023-12-15,16.7
2023-12-16,31.4
2023-12-17,31.3
2023-12-18,31.2
2023-12-19,28.9
2023-12-20,16.3
2023-12-21,24.8
2023-12-22,20.9
2023-12-23,30.5
2023-12-24,16.2
2023-12-25,21.2
2023-12-26,32.3
2023-12-27,23.4
2023-12-28,27.1
2023-12-29,33.8
2023-12-30,25.6
2023-12-31,31.5
2024-01-01,23.3
2024-01-02,15.3
2024-01-03,25.2
2024-01-04,24.0
2024-01-05,20.9
2024-01-06,23.6
2024-01-07,32.2
2024-01-08,29.3
2024-01-09,18.8
2024-01-10,22.2
2024-01-11,16.6
2024-01-12,17.9
