date,temperature
2023-06-10,11.3
2023-06-11,7.9
2023-06-12,22.4
2023-06-13,-6.9
2023-06-14,-3.7
2023-06-15,29.3
2023-06-16,-0.7
2023-06-17,5.7
2023-06-18,17.2
2023-06-19,17.4
2023-06-20,5.1
2023-06-21,22.6
2023-06-22,-6.6
2023-06-23,27.0
2023-06-24,5.1
2023-06-25,-4.9
2023-06-26,12.7
2023-06-27,15.6
2023-06-28,14.3
2023-06-29,-7.3
2023-06-30,14.5
2023-07-01,17.6
2023-07-02,14.1
2023-07-03,-2.8
2023-07-04,27.1
2023-07-05,7.7
2023-07-06,0.1
2023-07-07,15.9
2023-07-08,14.1
2023-07-09,-9.8
2023-07-10,12.6
2023-07-11,-5.8
2023-07-12,-9.9
2023-07-13,28.6
2023-07-14,14.5
2023-07-15,4.3
2023-07-16,-1.0
2023-07-17,-5.9
2023-07-18,13.8
2023-07-19,14.1
2023-07-20,29.7
2023-07-21,25.9
2023-07-22,13.9
2023-07-23,-9.4
2023-07-24,-0.3
2023-07-25,23.9
2023-07-26,8.6
2023-07-27,14.7
2023-07-28,19.0
2023-07-29,9.9
2023-07-30,9.1
2023-07-31,24.0
2023-08-01,0.4
2023-08-02,23.1
2023-08-03,0.9
2023-08-04,14.9
2023-08-05,13.9
2023-08-06,6.5
2023-08-07,17.4
2023-08-08,-2.5
2023-08-09,1.3
2023-08-10,24.6
2023-08-11,1.5
2023-08-12,13.6
2023-08-13,23.2
2023-08-14,27.8
2023-08-15,19.4
2023-08-16,21.8
2023-08-17,9.3
2023-08-18,28.7
2023-08-19,3.0
2023-08-20,19.4
2023-08-21,1.5
2023-08-22,25.4
2023-08-23,22.3
2023-08-24,15.6
2023-08-25,8.8
2023-08-26,10.8
2023-08-27,19.5
2023-08-28,2.4
2023-08-29,-7.3
2023-08-30,27.8
2023-08-31,11.4
2023-09-01,-3.5
2023-09-02,-4.8
2023-09-03,-6.1
2023-09-04,12.4
2023-09-05,18.4
2023-09-06,24.7
2023-09-07,-1.3
2023-09-08,10.9
2023-09-09,11.5
2023-09-10,26.8
2023-09-11,13.3
2023-09-12,11.7
2023-09-13,-3.0
2023-09-14,4.4
2023-09-15,16.2
2023-09-16,2.8
2023-09-17,29.0
2023-09-18,3.3
2023-09-19,15.6
2023-09-20,5.4
2023-09-21,-5.2
2023-09-22,23.6
2023-09-23,7.8
2023-09-24,28.0
2023-09-25,9.3
2023-09-26,13.6
2023-09-27,27.8
2023-09-28,-0.7
2023-09-29,5.2
2023-09-30,-6.4
2023-10-01,29.6
2023-10-02,-5.4
2023-10-03,14.4
2023-10-04,-2.9
2023-10-05,-4.7
2023-10-06,1.8
2023-10-07,0.7
2023-10-08,-9.2
2023-10-09,23.8
2023-10-10,2.0
2023-10-11,-5.6
2023-10-12,20.7
2023-10-13,8.9
2023-10-14,-5.0
2023-10-15,12.9
2023-10-16,0.9
2023-10-17,19.6
2023-10-18,26.9
2023-10-19,29.2
2023-10-20,20.3
2023-10-21,-6.5
2023-10-22,24.8
2023-10-23,16.2
2023-10-24,3.2
2023-10-25,15.6
2023-10-26,14.2
2023-10-27,10.0
2023-10-28,4.7
2023-10-29,-6.1
2023-10-30,4.8
2023-10-31,-7.8
2023-11-01,17.6
2023-11-02,-9.4
2023-11-03,-2.9
2023-11-04,26.7
2023-11-05,0.9
2023-11-06,2.5
2023-11-07,14.8
2023-11-08,23.4
2023-11-09,8.6
2023-11-10,18.4
2023-11-11,0.1
2023-11-12,25.8
2023-11-13,20.5
2023-11-14,26.9
2023-11-15,0.4
2023-11-16,-8.5
2023-11-17,19.1
2023-11-18,9.3
2023-11-19,12.5
2023-11-20,15.9
2023-11-21,-8.7
2023-11-22,23.7
2023-11-23,-7.9
2023-11-24,-3.4
2023-11-25,7.7
2023-11-26,16.5
2023-11-27,22.0
2023-11-28,16.5
2023-11-29,-2.8
2023-11-30,-0.2
2023-12-01,12.5
2023-12-02,26.0
2023-12-03,-9.3
2023-12-04,-5.9
2023-12-05,7.3
2023-12-06,5.1
2023-12-07,18.4
2023-12-08,-0.7
2023-12-09,9.3
2023-12-10,29.8
2023-12-11,14.5
2023-12-12,21.8
2023-12-13,2.6
2023-12-14,-8.5
2023-12-15,-6.4
2023-12-16,0.1
2023-12-17,-1.5
2023-12-18,18.3
2023-12-19,3.1
2023-12-20,23.7
2023-12-21,8.5
2023-12-22,1.2
2023-12-23,9.8
2023-12-24,13.8
2023-12-25,27.1
2023-12-26,15.0
2023-12-27,17.5
2023-12-28,7.0
2023-12-29,23.5
2023-12-30,9.0
2023-12-31,28.1
2024-01-01,21.6
2024-01-02,-3.0
2024-01-03,0.7
2024-01-04,19.0
2024-01-05,13.7
2024-01-06,13.4
2024-01-07,9.7
2024-01-08,25.3
2024-01-09,11.6
2024-01-10,29.8
2024-01-11,15.8
2024-01-12,27.4
2024-01-13,15.6
2024-01-14,23.4
2024-01-15,10.8
2024-01-16,25.2
2024-01-17,19.7
2024-01-18,17.2
2024-01-19,-0.9
2024-01-20,7.8
2024-01-21,29.2
2024-01-22,-4.0
2024-01-23,25.8
2024-01-24,17.1
2024-01-25,16.9
2024-01-26,1.4
2024-01-27,26.9
2024-01-28,26.3
2024-01-29,12.0
2024-01-30,11.0
2024-01-31,-3.5
2024-02-01,29.9
2024-02-02,7.8
2024-02-03,24.2
2024-02-04,-5.6
2024-02-05,-7.6
2024-02-06,4.7
2024-02-07,22.1
2024-02-08,6.8
2024-02-09,-9.7
2024-02-10,13.2
2024-02-11,29.7
2024-02-12,2.7
2024-02-13,9.9
2024-02-14,0.7
2024-02-15,-8.5
2024-02-16,-9.1
2024-02-17,-6.4
2024-02-18,18.3
2024-02-19,4.9
2024-02-20,-0.8
2024-02-21,10.8
2024-02-22,16.6
2024-02-23,26.8
2024-02-24,-6.3
2024-02-25,12.2
2024-02-26,-3.1
2024-02-27,-1.5
2024-02-28,9.2
2024-02-29,-8.6
2024-03-01,19.7
2024-03-02,24.0
2024-03-03,11.1
2024-03-04,-8.3
2024-03-05,-1.7
2024-03-06,-1.6
2024-03-07,-4.2
2024-03-08,22.5
2024-03-09,21.5
2024-03-10,8.3
2024-03-11,-6.6
2024-03-12,-9.8
2024-03-13,9.3
2024-03-14,11.3
2024-03-15,-6.3
2024-03-16,6.6
2024-03-17,18.5
2024-03-18,27.4
2024-03-19,6.4
2024-03-20,-0.1
2024-03-21,-9.9
2024-03-22,8.4
2024-03-23,15.2
2024-03-24,25.2
2024-03-25,22.3
2024-03-26,9.2
2024-03-27,24.4
2024-03-28,5.4
2024-03-29,0.1
2024-03-30,16.7
2024-03-31,12.4
2024-04-01,18.9
2024-04-02,-9.8
2024-04-03,-1.9
2024-04-04,26.0
2024-04-05,24.7
2024-04-06,19.6
2024-04-07,24.1
2024-04-08,22.2
2024-04-09,15.1
2024-04-10,14.1
2024-04-11,26.6
2024-04-12,21.2
2024-04-13,-7.3
2024-04-14,26.4
2024-04-15,-8.2
2024-04-16,28.5
2024-04-17,27.2
2024-04-18,19.2
2024-04-19,24.0
2024-04-20,-4.7
2024-04-21,12.0
2024-04-22,23.6
2024-04-23,28.0
2024-04-24,1.3
2024-04-25,18.0
2024-04-26,13.9
2024-04-27,16.5
2024-04-28,29.6
2024-04-29,-0.3
2024-04-30,1.2
2024-05-01,28.0
2024-05-02,0.8
2024-05-03,-7.9
2024-05-04,13.7
2024-05-05,23.1
2024-05-06,16.2
2024-05-07,18.6
2024-05-08,24.5
2024-05-09,-1.5
2024-05-10,15.7
2024-05-11,26.3
2024-05-12,-0.8
2024-05-13,4.6
2024-05-14,17.2
2024-05-15,20.3
2024-05-16,1.2
2024-05-17,-9.4
2024-05-18,26.3
2024-05-19,14.3
2024-05-20,-0.5
2024-05-21,-3.6
2024-05-22,2.8
2024-05-23,21.7
2024-05-24,-8.8
2024-05-25,24.3
2024-05-26,-4.4
2024-05-27,16.7
2024-05-28,11.3
2024-05-29,-9.4
2024-05-30,11.6
2024-05-31,9.2
2024-06-01,6.9
2024-06-02,22.0
2024-06-03,14.1
2024-06-04,23.3
2024-06-05,-9.1
2024-06-06,29.9
2024-06-07,15.0
2024-06-08,-3.0
2024-06-09,16.1
2024-06-10,9.2
2024-06-11,2.9
2024-06-12,9.1
2024-06-13,28.3
2024-06-14,5.5
2024-06-15,-7.7
2024-06-16,7.6
2024-06-17,7.1
2024-06-18,-1.3
2024-06-19,18.3
2024-06-20,8.3
2024-06-21,1.5
2024-06-22,22.3
2024-06-23,-6.1
2024-06-24,-8.4
2024-06-25,-4.6
2024-06-26,17.9
2024-06-27,28.1
2024-06-28,12.1
2024-06-29,9.0
2024-06-30,29.2
2024-07-01,14.3
2024-07-02,14.4
2024-07-03,6.7
2024-07-04,21.5
2024-07-05,5.8
2024-07-06,15.4
2024-07-07,5.4
2024-07-08,24.8
2024-07-09,17.7
2024-07-10,13.1
2024-07-11,-9.0
2024-07-12,19.2
2024-07-13,23.4
2024-07-14,3.9
2024-07-15,-5.4
2024-07-16,-0.2
2024-07-17,25.4
2024-07-18,24.0
2024-07-19,-3.7
2024-07-20,7.5
2024-07-21,-5.2
2024-07-22,23.7
2024-07-23,-5.0
2024-07-24,-5.7
2024-07-25,18.4
2024-07-26,21.3
2024-07-27,3.9
2024-07-28,14.5
2024-07-29,1.2
2024-07-30,21.0
2024-07-31,-8.0
2024-08-01,16.9
2024-08-02,26.7
2024-08-03,11.3
2024-08-04,19.9
2024-08-05,18.3
2024-08-06,9.7
2024-08-07,21.4
2024-08-08,11.1
2024-08-09,3.4
2024-08-10,-7.2
2024-08-11,2.5
2024-08-12,2.1
2024-08-13,28.6
2024-08-14,1.9
2024-08-15,10.6
2024-08-16,1.0
2024-08-17,-4.5
2024-08-18,3.3
2024-08-19,24.7
2024-08-20,6.3
2024-08-21,1.1
2024-08-22,-4.5
2024-08-23,-8.6
2024-08-24,-4.7
2024-08-25,-2.3
2024-08-26,17.5
2024-08-27,-3.8
2024-08-28,26.3
2024-08-29,-6.8
2024-08-30,-2.7
2024-08-31,22.0
2024-09-01,7.1
2024-09-02,4.2
2024-09-03,14.1
2024-09-04,-7.6
2024-09-05,-1.3
2024-09-06,20.9
2024-09-07,-9.4
2024-09-08,15.3
2024-09-09,16.5
2024-09-10,0.2
2024-09-11,29.3
2024-09-12,10.9
2024-09-13,18.1
2024-09-14,13.9
2024-09-15,-4.1
2024-09-16,10.5
2024-09-17,21.0
2024-09-18,22.4
2024-09-19,25.4
2024-09-20,-4.2
2024-09-21,29.9
2024-09-22,20.5
2024-09-23,7.1
2024-09-24,23.8
2024-09-25,17.1
2024-09-26,-7.5
2024-09-27,17.6
2024-09-28,-2.4
2024-09-29,1.3
2024-09-30,10.5
2024-10-01,11.3
2024-10-02,-4.8
2024-10-03,7.6
2024-10-04,24.6
2024-10-05,22.8
2024-10-06,17.2
2024-10-07,15.6
2024-10-08,21.5
2024-10-09,0.3
2024-10-10,-3.4
2024-10-11,27.0
2024-10-12,-6.3
2024-10-13,3.2
2024-10-14,19.9
2024-10-15,7.7
2024-10-16,24.1
2024-10-17,9.3
2024-10-18,27.5
2024-10-19,7.1
2024-10-20,24.6
2024-10-21,-1.0
2024-10-22,24.2
2024-10-23,-4.3
2024-10-24,3.3
2024-10-25,7.8
2024-10-26,24.8
2024-10-27,11.2
2024-10-28,24.1
2024-10-29,18.8
2024-10-30,6.8
2024-10-31,5.2
2024-11-01,13.7
2024-11-02,14.8
2024-11-03,11.5
2024-11-04,28.8
2024-11-05,-8.9
2024-11-06,6.7
2024-11-07,2.6
2024-11-08,-2.8
2024-11-09,24.0
2024-11-10,-8.3
2024-11-11,22.2
2024-11-12,-2.9
2024-11-13,-5.2
2024-11-14,-6.6
2024-11-15,26.1
2024-11-16,28.2
2024-11-17,14.8
2024-11-18,28.0
2024-11-19,9.7
2024-11-20,11.1
2024-11-21,17.8
2024-11-22,20.9
2024-11-23,11.7
2024-11-24,10.9
2024-11-25,10.3
2024-11-26,15.5
2024-11-27,-1.3
2024-11-28,26.8
2024-11-29,21.1
2024-11-30,16.8
2024-12-01,29.5
2024-12-02,9.7
2024-12-03,16.2
2024-12-04,7.7
2024-12-05,26.5
2024-12-06,9.0
2024-12-07,29.9
2024-12-08,-5.9
2024-12-09,-9.9
2024-12-10,15.2
2024-12-11,6.7
2024-12-12,28.1
2024-12-13,15.5
2024-12-14,9.4
2024-12-15,0.6
2024-12-16,-7.1
2024-12-17,11.4
2024-12-18,-6.0
2024-12-19,1.0
2024-12-20,9.6
2024-12-21,1.4
2024-12-22,-2.2
2024-12-23,-7.2
2024-12-24,1.8
2024-12-25,-3.4
2024-12-26,29.2
2024-12-27,13.9
2024-12-28,15.6
2024-12-29,4.3
2024-12-30,6.6
2024-12-31,18.9
2025-01-01,29.4
2025-01-02,29.0
2025-01-03,-1.0
2025-01-04,25.6
2025-01-05,5.8
2025-01-06,21.9
2025-01-07,24.5
2025-01-08,26.7
2025-01-09,22.5
2025-01-10,14.7
2025-01-11,-8.6
2025-01-12,8.4
2025-01-13,-2.7
2025-01-14,20.1
2025-01-15,10.5
2025-01-16,9.1
2025-01-17,7.3
2025-01-18,4.4
2025-01-19,-9.8
2025-01-20,19.0
2025-01-21,5.1
2025-01-22,4.3
2025-01-23,0.6
2025-01-24,-7.2
2025-01-25,-5.0
2025-01-26,-7.4
2025-01-27,-2.8
2025-01-28,17.1
2025-01-29,12.4
2025-01-30,1.5
2025-01-31,15.0
2025-02-01,24.0
2025-02-02,17.0
2025-02-03,29.3
2025-02-04,11.5
2025-02-05,-1.6
2025-02-06,21.7
2025-02-07,1.1
2025-02-08,25.7
2025-02-09,3.2
2025-02-10,12.7
2025-02-11,-8.6
2025-02-12,0.5
2025-02-13,27.2
2025-02-14,8.2
2025-02-15,27.3
2025-02-16,15.9
2025-02-17,16.7
2025-02-18,7.4
2025-02-19,14.8
2025-02-20,13.6
2025-02-21,14.7
2025-02-22,15.3
2025-02-23,9.2
2025-02-24,2.5
2025-02-25,2.7
2025-02-26,-5.0
2025-02-27,12.6
2025-02-28,7.5
2025-03-01,2.8
2025-03-02,-2.4
2025-03-03,24.4
2025-03-04,26.5
2025-03-05,20.3
2025-03-06,-5.3
2025-03-07,0.1
2025-03-08,10.8
2025-03-09,-1.6
2025-03-10,22.3
2025-03-11,22.0
2025-03-12,29.0
2025-03-13,19.6
2025-03-14,5.3
2025-03-15,26.9
2025-03-16,9.7
2025-03-17,-9.5
2025-03-18,2.3
2025-03-19,5.0
2025-03-20,24.5
2025-03-21,9.6
2025-03-22,-9.0
2025-03-23,-2.3
2025-03-24,11.4
2025-03-25,9.7
2025-03-26,28.0
2025-03-27,13.9
2025-03-28,15.3
2025-03-29,24.5
2025-03-30,4.4
2025-03-31,21.0
2025-04-01,13.4
2025-04-02,6.7
2025-04-03,11.8
2025-04-04,-9.7
2025-04-05,5.9
2025-04-06,25.5
2025-04-07,-0.3
2025-04-08,-8.4
2025-04-09,27.4
2025-04-10,30.0
2025-04-11,20.3
2025-04-12,5.4
2025-04-13,20.0
2025-04-14,28.9
2025-04-15,0.1
2025-04-16,0.5
2025-04-17,20.6
2025-04-18,19.1
2025-04-19,13.7
2025-04-20,21.5
2025-04-21,-3.0
2025-04-22,19.6
2025-04-23,11.7
2025-04-24,21.0
2025-04-25,20.2
2025-04-26,2.0
2025-04-27,21.9
2025-04-28,11.2
2025-04-29,6.4
2025-04-30,9.7
2025-05-01,15.5
2025-05-02,18.9
2025-05-03,29.8
2025-05-04,1.1
2025-05-05,21.2
2025-05-06,8.8
2025-05-07,5.9
2025-05-08,27.2
2025-05-09,21.4
2025-05-10,28.1
2025-05-11,2.7
2025-05-12,1.4
2025-05-13,8.4
2025-05-14,22.3
2025-05-15,6.7
2025-05-16,21.2
2025-05-17,7.4
2025-05-18,23.4
2025-05-19,-0.2
2025-05-20,-4.4
2025-05-21,10.4
2025-05-22,15.5
2025-05-23,25.2
2025-05-24,28.0
2025-05-25,11.9
2025-05-26,-9.3
2025-05-27,20.1
2025-05-28,18.5
2025-05-29,-4.3
2025-05-30,27.5
2025-05-31,18.4
2025-06-01,29.2
2025-06-02,10.2
2025-06-03,9.9
2025-06-04,11.1
2025-06-05,0.1
2025-06-06,7.0
2025-06-07,-2.5
2025-06-08,2.4
