date,temperature
2023-06-10,16.5
2023-06-11,9.4
2023-06-12,7.2
2023-06-13,20.9
2023-06-14,8.8
2023-06-15,1.1
2023-06-16,1.5
2023-06-17,10.2
2023-06-18,4.1
2023-06-19,1.8
2023-06-20,10.3
2023-06-21,11.4
2023-06-22,19.6
2023-06-23,17.4
2023-06-24,0.7
2023-06-25,21.1
2023-06-26,24.2
2023-06-27,-8.5
2023-06-28,-4.1
2023-06-29,-5.6
2023-06-30,9.2
2023-07-01,-9.7
2023-07-02,17.3
2023-07-03,21.2
2023-07-04,15.1
2023-07-05,23.3
2023-07-06,25.0
2023-07-07,-1.3
2023-07-08,27.0
2023-07-09,1.6
2023-07-10,25.2
2023-07-11,1.5
2023-07-12,10.4
2023-07-13,8.9
2023-07-14,-3.1
2023-07-15,-4.2
2023-07-16,16.9
2023-07-17,-5.3
2023-07-18,22.9
2023-07-19,24.6
2023-07-20,9.7
2023-07-21,-0.8
2023-07-22,6.7
2023-07-23,22.1
2023-07-24,1.2
2023-07-25,-6.0
2023-07-26,-6.3
2023-07-27,16.2
2023-07-28,1.2
2023-07-29,26.3
2023-07-30,-7.2
2023-07-31,25.1
2023-08-01,6.8
2023-08-02,17.1
2023-08-03,27.4
2023-08-04,5.4
2023-08-05,8.8
2023-08-06,4.4
2023-08-07,-1.5
2023-08-08,-3.3
2023-08-09,22.1
2023-08-10,-5.4
2023-08-11,5.4
2023-08-12,7.2
2023-08-13,16.8
2023-08-14,-8.9
2023-08-15,-4.0
2023-08-16,-4.9
2023-08-17,-5.9
2023-08-18,7.8
2023-08-19,10.9
2023-08-20,1.8
2023-08-21,25.2
2023-08-22,4.4
2023-08-23,17.8
2023-08-24,12.6
2023-08-25,20.4
2023-08-26,17.4
2023-08-27,14.2
2023-08-28,11.2
2023-08-29,-9.8
2023-08-30,16.4
2023-08-31,20.8
2023-09-01,11.2
2023-09-02,5.2
2023-09-03,8.3
2023-09-04,22.1
2023-09-05,16.8
2023-09-06,22.6
2023-09-07,24.5
2023-09-08,13.1
2023-09-09,-8.2
2023-09-10,22.5
2023-09-11,13.7
2023-09-12,24.0
2023-09-13,12.7
2023-09-14,18.0
2023-09-15,6.5
2023-09-16,-9.4
2023-09-17,2.4
2023-09-18,6.1
2023-09-19,25.7
2023-09-20,-7.2
2023-09-21,-7.6
2023-09-22,27.9
2023-09-23,18.3
2023-09-24,23.8
2023-09-25,-2.1
2023-09-26,4.3
2023-09-27,21.7
2023-09-28,-3.4
2023-09-29,1.2
2023-09-30,22.4
2023-10-01,-7.9
2023-10-02,29.1
2023-10-03,17.6
2023-10-04,20.1
2023-10-05,13.7
2023-10-06,6.4
2023-10-07,-1.8
2023-10-08,-0.3
2023-10-09,22.4
2023-10-10,19.3
2023-10-11,24.6
2023-10-12,22.3
2023-10-13,-3.0
2023-10-14,12.5
2023-10-15,-1.9
2023-10-16,4.5
2023-10-17,-5.0
2023-10-18,-8.4
2023-10-19,-1.8
2023-10-20,3.1
2023-10-21,-0.3
2023-10-22,6.9
2023-10-23,-2.9
2023-10-24,21.4
2023-10-25,8.5
2023-10-26,-2.0
2023-10-27,-2.4
2023-10-28,28.0
2023-10-29,14.2
2023-10-30,17.9
2023-10-31,-2.1
2023-11-01,3.0
2023-11-02,-4.7
2023-11-03,23.2
2023-11-04,-8.4
2023-11-05,26.5
2023-11-06,6.9
2023-11-07,2.3
2023-11-08,19.7
2023-11-09,2.9
2023-11-10,-2.8
2023-11-11,11.7
2023-11-12,25.6
2023-11-13,14.3
2023-11-14,-9.5
2023-11-15,3.8
2023-11-16,29.4
2023-11-17,8.5
2023-11-18,6.5
2023-11-19,3.0
2023-11-20,16.3
2023-11-21,-0.3
2023-11-22,20.5
2023-11-23,-8.0
2023-11-24,4.8
2023-11-25,24.9
2023-11-26,24.2
2023-11-27,24.1
2023-11-28,12.9
2023-11-29,17.1
2023-11-30,24.6
2023-12-01,12.7
2023-12-02,-0.8
2023-12-03,27.8
2023-12-04,20.6
2023-12-05,14.2
2023-12-06,28.2
2023-12-07,11.9
2023-12-08,-6.6
2023-12-09,24.4
2023-12-10,1.1
2023-12-11,-8.5
2023-12-12,20.3
2023-12-13,9.7
2023-12-14,26.0
2023-12-15,3.4
2023-12-16,0.8
2023-12-17,28.7
2023-12-18,22.0
2023-12-19,17.9
2023-12-20,12.4
2023-12-21,15.6
2023-12-22,15.5
2023-12-23,21.3
2023-12-24,2.8
2023-12-25,11.7
2023-12-26,16.5
2023-12-27,-8.3
2023-12-28,12.1
2023-12-29,8.6
2023-12-30,3.5
2023-12-31,13.2
2024-01-01,11.6
2024-01-02,-1.1
2024-01-03,15.0
2024-01-04,29.6
2024-01-05,-2.6
2024-01-06,-0.9
2024-01-07,21.5
2024-01-08,0.9
2024-01-09,23.9
2024-01-10,1.6
2024-01-11,17.0
2024-01-12,-8.1
2024-01-13,2.1
2024-01-14,11.9
2024-01-15,12.9
2024-01-16,3.2
2024-01-17,18.1
2024-01-18,22.8
2024-01-19,15.7
2024-01-20,20.1
2024-01-21,6.2
2024-01-22,-4.2
2024-01-23,6.1
2024-01-24,14.2
2024-01-25,21.0
2024-01-26,-3.2
2024-01-27,-8.5
2024-01-28,4.2
2024-01-29,6.0
2024-01-30,-0.6
2024-01-31,17.8
2024-02-01,24.8
2024-02-02,9.8
2024-02-03,-5.3
2024-02-04,-6.1
2024-02-05,14.4
2024-02-06,2.1
2024-02-07,3.9
2024-02-08,5.8
2024-02-09,4.2
2024-02-10,9.3
2024-02-11,-1.0
2024-02-12,25.0
2024-02-13,24.0
2024-02-14,-3.0
2024-02-15,18.8
2024-02-16,24.6
2024-02-17,4.3
2024-02-18,20.3
2024-02-19,-0.5
2024-02-20,3.0
2024-02-21,19.1
2024-02-22,-8.3
2024-02-23,17.1
2024-02-24,-9.0
2024-02-25,22.4
2024-02-26,-3.9
2024-02-27,3.8
2024-02-28,-6.3
2024-02-29,21.7
2024-03-01,14.5
2024-03-02,17.5
2024-03-03,11.9
2024-03-04,5.9
2024-03-05,6.3
2024-03-06,-0.4
2024-03-07,23.0
2024-03-08,26.5
2024-03-09,-1.0
2024-03-10,14.5
2024-03-11,-0.4
2024-03-12,-6.5
2024-03-13,10.9
2024-03-14,9.5
2024-03-15,28.8
2024-03-16,23.2
2024-03-17,-9.9
2024-03-18,14.8
2024-03-19,16.6
2024-03-20,26.0
2024-03-21,17.4
2024-03-22,-7.0
2024-03-23,9.5
2024-03-24,27.4
2024-03-25,23.1
2024-03-26,13.5
2024-03-27,5.6
2024-03-28,-0.9
2024-03-29,14.4
2024-03-30,3.3
2024-03-31,-0.7
2024-04-01,-7.7
2024-04-02,24.7
2024-04-03,-4.8
2024-04-04,28.0
2024-04-05,17.9
2024-04-06,-3.5
2024-04-07,10.2
2024-04-08,-3.5
2024-04-09,16.0
2024-04-10,16.5
2024-04-11,-1.7
2024-04-12,29.8
2024-04-13,5.4
2024-04-14,7.8
2024-04-15,1.4
2024-04-16,11.3
2024-04-17,24.7
2024-04-18,20.0
2024-04-19,24.9
2024-04-20,-1.0
2024-04-21,5.4
2024-04-22,6.5
2024-04-23,22.1
2024-04-24,15.0
2024-04-25,20.4
2024-04-26,28.2
2024-04-27,-10.0
2024-04-28,21.6
2024-04-29,-2.7
2024-04-30,-1.6
2024-05-01,0.5
2024-05-02,-4.8
2024-05-03,-5.5
2024-05-04,28.9
2024-05-05,4.8
2024-05-06,-7.0
2024-05-07,14.5
