date,temperature
2023-06-10,6.7
2023-06-11,25.7
2023-06-12,-6.7
2023-06-13,-5.8
2023-06-14,17.2
2023-06-15,19.1
2023-06-16,22.7
2023-06-17,-1.2
2023-06-18,21.7
2023-06-19,23.5
2023-06-20,4.4
2023-06-21,12.4
2023-06-22,8.9
2023-06-23,8.2
2023-06-24,-3.3
2023-06-25,-0.3
2023-06-26,6.6
2023-06-27,2.7
2023-06-28,29.1
2023-06-29,-0.4
2023-06-30,11.2
2023-07-01,2.2
2023-07-02,-0.1
2023-07-03,16.7
2023-07-04,-8.4
2023-07-05,-5.4
2023-07-06,2.0
2023-07-07,25.8
2023-07-08,26.6
2023-07-09,3.3
2023-07-10,28.4
2023-07-11,-4.0
2023-07-12,17.7
2023-07-13,30.0
2023-07-14,15.1
2023-07-15,18.5
2023-07-16,4.9
2023-07-17,21.9
2023-07-18,24.9
2023-07-19,-5.7
2023-07-20,28.0
2023-07-21,-1.9
2023-07-22,2.2
2023-07-23,-4.6
2023-07-24,-2.6
2023-07-25,14.1
2023-07-26,7.3
2023-07-27,-1.4
2023-07-28,16.1
2023-07-29,19.6
2023-07-30,10.0
2023-07-31,9.2
2023-08-01,18.7
2023-08-02,15.7
2023-08-03,22.4
2023-08-04,12.3
2023-08-05,9.0
2023-08-06,17.4
2023-08-07,8.7
2023-08-08,24.0
2023-08-09,3.3
2023-08-10,7.5
2023-08-11,-9.3
2023-08-12,16.7
2023-08-13,29.1
2023-08-14,10.9
2023-08-15,15.9
2023-08-16,-5.3
2023-08-17,1.7
2023-08-18,-3.0
2023-08-19,14.2
2023-08-20,11.0
2023-08-21,25.2
2023-08-22,4.1
2023-08-23,2.2
2023-08-24,22.2
2023-08-25,-5.7
2023-08-26,7.1
2023-08-27,9.8
2023-08-28,24.4
2023-08-29,5.0
2023-08-30,21.6
2023-08-31,7.1
2023-09-01,10.2
2023-09-02,22.3
2023-09-03,19.2
2023-09-04,-1.3
2023-09-05,4.4
2023-09-06,-8.9
2023-09-07,24.5
2023-09-08,22.2
2023-09-09,12.5
2023-09-10,15.3
2023-09-11,11.6
2023-09-12,-7.1
2023-09-13,-8.4
2023-09-14,24.2
2023-09-15,-3.1
2023-09-16,24.6
2023-09-17,4.0
2023-09-18,1.7
2023-09-19,27.9
2023-09-20,-3.9
2023-09-21,29.6
2023-09-22,6.2
2023-09-23,0.4
2023-09-24,6.4
2023-09-25,3.8
2023-09-26,21.3
2023-09-27,1.8
2023-09-28,11.8
2023-09-29,14.1
2023-09-30,6.4
2023-10-01,0.6
2023-10-02,13.9
2023-10-03,1.2
2023-10-04,-5.7
2023-10-05,10.8
2023-10-06,0.8
2023-10-07,11.8
2023-10-08,-1.7
2023-10-09,12.2
2023-10-10,21.7
2023-10-11,-4.8
2023-10-12,3.9
2023-10-13,-1.4
2023-10-14,-8.7
2023-10-15,5.7
2023-10-16,4.5
2023-10-17,14.1
2023-10-18,4.3
2023-10-19,3.6
2023-10-20,18.8
2023-10-21,16.1
2023-10-22,27.7
2023-10-23,5.0
2023-10-24,23.1
2023-10-25,-3.0
2023-10-26,20.3
2023-10-27,-9.0
2023-10-28,3.4
2023-10-29,29.2
2023-10-30,-4.7
2023-10-31,22.7
2023-11-01,15.3
2023-11-02,29.3
2023-11-03,-7.5
2023-11-04,29.4
2023-11-05,24.6
2023-11-06,27.2
2023-11-07,-4.0
2023-11-08,12.0
2023-11-09,16.5
2023-11-10,8.5
2023-11-11,-3.7
2023-11-12,-3.7
2023-11-13,-9.1
2023-11-14,14.8
2023-11-15,12.1
2023-11-16,-3.8
2023-11-17,6.6
2023-11-18,4.5
2023-11-19,13.7
2023-11-20,0.7
2023-11-21,-1.2
2023-11-22,19.6
2023-11-23,0.8
2023-11-24,9.6
2023-11-25,26.3
2023-11-26,25.3
2023-11-27,3.2
2023-11-28,12.2
2023-11-29,-1.2
2023-11-30,26.0
2023-12-01,20.6
2023-12-02,5.8
2023-12-03,15.4
2023-12-04,27.7
2023-12-05,14.4
2023-12-06,-7.3
2023-12-07,22.8
2023-12-08,2.8
2023-12-09,25.2
2023-12-10,16.3
2023-12-11,0.8
2023-12-12,21.6
2023-12-13,25.1
2023-12-14,-6.8
2023-12-15,12.5
2023-12-16,21.6
2023-12-17,0.9
2023-12-18,27.6
2023-12-19,16.2
2023-12-20,4.7
2023-12-21,-3.5
2023-12-22,-6.3
2023-12-23,-1.5
2023-12-24,-9.8
2023-12-25,8.4
2023-12-26,6.9
2023-12-27,-2.2
2023-12-28,25.2
2023-12-29,9.2
2023-12-30,24.6
2023-12-31,28.9
2024-01-01,-3.5
2024-01-02,-3.0
2024-01-03,24.5
2024-01-04,4.4
2024-01-05,12.8
2024-01-06,5.1
2024-01-07,13.2
2024-01-08,-2.3
2024-01-09,18.1
2024-01-10,10.4
2024-01-11,29.5
2024-01-12,6.1
2024-01-13,-2.8
2024-01-14,-7.7
2024-01-15,-1.2
2024-01-16,19.3
2024-01-17,-9.4
2024-01-18,2.1
2024-01-19,21.0
2024-01-20,4.4
2024-01-21,7.2
2024-01-22,4.9
2024-01-23,7.4
2024-01-24,10.8
2024-01-25,19.0
2024-01-26,9.7
2024-01-27,21.3
2024-01-28,1.4
2024-01-29,22.3
2024-01-30,10.3
2024-01-31,15.4
2024-02-01,15.5
2024-02-02,8.0
2024-02-03,18.9
2024-02-04,19.1
2024-02-05,21.3
2024-02-06,19.6
2024-02-07,27.0
2024-02-08,29.5
2024-02-09,-6.7
2024-02-10,-2.1
2024-02-11,9.3
2024-02-12,-3.8
2024-02-13,13.6
2024-02-14,26.6
2024-02-15,11.1
2024-02-16,27.6
2024-02-17,4.3
2024-02-18,-0.1
2024-02-19,-8.7
2024-02-20,7.7
2024-02-21,2.8
2024-02-22,10.3
2024-02-23,9.6
2024-02-24,-0.3
2024-02-25,18.8
2024-02-26,-1.5
2024-02-27,-6.5
2024-02-28,-3.7
2024-02-29,28.4
2024-03-01,5.3
2024-03-02,20.5
2024-03-03,22.4
2024-03-04,-2.9
2024-03-05,10.4
2024-03-06,-3.7
2024-03-07,26.7
2024-03-08,14.2
2024-03-09,-7.0
2024-03-10,19.5
2024-03-11,11.6
2024-03-12,6.9
2024-03-13,19.2
2024-03-14,0.4
2024-03-15,13.4
2024-03-16,20.9
2024-03-17,17.9
2024-03-18,27.0
2024-03-19,-6.8
2024-03-20,-4.7
2024-03-21,-2.7
2024-03-22,14.8
2024-03-23,27.2
2024-03-24,24.0
2024-03-25,29.0
2024-03-26,-3.3
2024-03-27,6.1
2024-03-28,-8.4
2024-03-29,1.8
2024-03-30,-0.4
2024-03-31,0.3
2024-04-01,7.0
2024-04-02,27.9
2024-04-03,13.6
2024-04-04,14.3
2024-04-05,1.6
2024-04-06,-6.9
2024-04-07,26.5
2024-04-08,18.5
2024-04-09,23.1
2024-04-10,-6.4
2024-04-11,14.7
2024-04-12,6.6
2024-04-13,29.8
2024-04-14,13.0
2024-04-15,24.4
2024-04-16,7.4
2024-04-17,13.2
2024-04-18,26.5
2024-04-19,-0.6
2024-04-20,-2.7
2024-04-21,1.1
2024-04-22,11.9
2024-04-23,12.4
2024-04-24,-3.9
2024-04-25,27.6
2024-04-26,-0.1
2024-04-27,0.9
2024-04-28,-7.1
2024-04-29,2.3
2024-04-30,16.8
2024-05-01,20.7
2024-05-02,13.1
2024-05-03,3.2
2024-05-04,6.6
2024-05-05,18.1
2024-05-06,7.4
2024-05-07,7.0
2024-05-08,-7.7
2024-05-09,17.4
2024-05-10,11.2
2024-05-11,-1.0
2024-05-12,23.6
2024-05-13,-2.3
2024-05-14,-5.9
2024-05-15,-4.1
2024-05-16,-9.5
2024-05-17,29.3
2024-05-18,13.6
2024-05-19,12.2
2024-05-20,7.2
2024-05-21,19.2
2024-05-22,20.6
2024-05-23,-0.7
2024-05-24,5.5
2024-05-25,4.3
2024-05-26,8.6
2024-05-27,26.5
2024-05-28,-6.0
2024-05-29,26.9
2024-05-30,13.2
2024-05-31,6.5
2024-06-01,3.6
2024-06-02,3.4
2024-06-03,-4.1
2024-06-04,6.9
2024-06-05,18.7
2024-06-06,7.4
2024-06-07,-1.9
2024-06-08,10.0
2024-06-09,5.9
2024-06-10,10.7
2024-06-11,9.8
2024-06-12,18.3
2024-06-13,29.8
2024-06-14,-8.6
2024-06-15,18.6
2024-06-16,15.6
2024-06-17,13.7
2024-06-18,-7.0
2024-06-19,9.1
2024-06-20,-8.1
2024-06-21,-7.1
2024-06-22,-4.9
2024-06-23,-6.8
2024-06-24,5.6
2024-06-25,13.5
2024-06-26,2.6
2024-06-27,-7.4
2024-06-28,3.4
2024-06-29,-7.7
2024-06-30,-3.5
2024-07-01,22.9
2024-07-02,18.8
2024-07-03,-9.3
2024-07-04,12.8
2024-07-05,17.2
2024-07-06,16.3
2024-07-07,8.6
2024-07-08,13.1
2024-07-09,5.7
2024-07-10,15.9
2024-07-11,12.7
2024-07-12,28.6
2024-07-13,20.0
2024-07-14,24.1
2024-07-15,18.7
2024-07-16,18.6
2024-07-17,12.3
2024-07-18,2.4
2024-07-19,-1.9
2024-07-20,-7.2
2024-07-21,5.4
2024-07-22,16.3
2024-07-23,25.7
2024-07-24,17.3
2024-07-25,4.7
2024-07-26,20.3
2024-07-27,7.7
2024-07-28,6.9
2024-07-29,1.5
2024-07-30,1.7
2024-07-31,-9.4
2024-08-01,13.4
2024-08-02,10.2
2024-08-03,4.3
2024-08-04,-4.7
2024-08-05,9.0
2024-08-06,22.4
2024-08-07,17.3
2024-08-08,25.4
2024-08-09,17.7
2024-08-10,9.7
2024-08-11,9.7
2024-08-12,13.4
2024-08-13,-4.7
2024-08-14,-6.1
2024-08-15,20.1
2024-08-16,21.8
2024-08-17,10.4
2024-08-18,18.1
2024-08-19,21.0
2024-08-20,0.6
2024-08-21,-1.4
2024-08-22,12.6
2024-08-23,-2.1
2024-08-24,12.4
2024-08-25,11.2
2024-08-26,3.5
2024-08-27,4.5
2024-08-28,-8.0
2024-08-29,18.0
2024-08-30,-0.5
2024-08-31,26.6
2024-09-01,8.9
2024-09-02,0.8
2024-09-03,5.9
2024-09-04,-8.0
2024-09-05,-7.7
2024-09-06,25.6
2024-09-07,18.4
2024-09-08,-3.5
2024-09-09,25.0
2024-09-10,16.3
2024-09-11,18.6
2024-09-12,12.6
2024-09-13,3.8
2024-09-14,-7.0
2024-09-15,-2.9
2024-09-16,-9.7
2024-09-17,-0.9
2024-09-18,-1.8
2024-09-19,21.4
2024-09-20,3.2
2024-09-21,15.3
2024-09-22,19.8
2024-09-23,29.0
2024-09-24,21.2
2024-09-25,1.4
2024-09-26,8.1
2024-09-27,21.1
2024-09-28,-7.8
2024-09-29,2.2
2024-09-30,-2.9
2024-10-01,8.8
2024-10-02,6.4
2024-10-03,27.7
2024-10-04,4.0
2024-10-05,2.4
2024-10-06,22.4
2024-10-07,-5.4
2024-10-08,18.7
2024-10-09,27.0
2024-10-10,29.8
2024-10-11,-3.4
2024-10-12,7.9
2024-10-13,0.4
2024-10-14,-7.1
2024-10-15,3.8
2024-10-16,18.6
2024-10-17,-0.9
2024-10-18,29.1
2024-10-19,-3.5
2024-10-20,3.1
2024-10-21,-0.7
2024-10-22,18.3
2024-10-23,15.7
2024-10-24,3.0
2024-10-25,3.8
2024-10-26,13.9
2024-10-27,-1.8
2024-10-28,15.5
2024-10-29,-4.3
2024-10-30,2.4
2024-10-31,3.7
2024-11-01,8.6
2024-11-02,18.1
2024-11-03,-0.4
2024-11-04,8.5
2024-11-05,18.2
2024-11-06,-9.1
2024-11-07,-5.5
2024-11-08,24.2
2024-11-09,9.1
2024-11-10,10.1
2024-11-11,12.3
2024-11-12,24.6
2024-11-13,26.3
2024-11-14,-5.8
2024-11-15,5.7
2024-11-16,-5.0
2024-11-17,16.8
2024-11-18,11.0
2024-11-19,28.2
2024-11-20,-9.0
2024-11-21,19.2
2024-11-22,25.1
2024-11-23,-8.9
2024-11-24,-5.5
2024-11-25,-7.2
2024-11-26,-8.9
2024-11-27,26.9
2024-11-28,8.0
2024-11-29,5.8
2024-11-30,-5.4
2024-12-01,7.1
2024-12-02,3.5
2024-12-03,17.2
2024-12-04,-5.0
2024-12-05,7.6
2024-12-06,13.4
2024-12-07,19.9
2024-12-08,-8.7
2024-12-09,-4.8
2024-12-10,17.1
2024-12-11,19.9
2024-12-12,6.4
2024-12-13,-5.4
2024-12-14,1.5
2024-12-15,6.8
2024-12-16,13.1
2024-12-17,2.1
2024-12-18,19.3
2024-12-19,22.6
2024-12-20,28.0
2024-12-21,14.3
2024-12-22,17.6
2024-12-23,11.5
2024-12-24,29.1
2024-12-25,22.2
2024-12-26,29.6
2024-12-27,-0.9
2024-12-28,20.4
2024-12-29,29.5
2024-12-30,29.9
2024-12-31,-3.1
2025-01-01,-7.8
2025-01-02,-9.3
2025-01-03,23.0
2025-01-04,8.8
2025-01-05,-5.6
2025-01-06,11.6
2025-01-07,5.7
2025-01-08,-7.2
2025-01-09,11.5
2025-01-10,-1.1
2025-01-11,-9.6
2025-01-12,-2.2
2025-01-13,17.1
2025-01-14,12.5
2025-01-15,25.9
2025-01-16,10.1
2025-01-17,20.2
2025-01-18,7.5
2025-01-19,22.9
2025-01-20,22.5
2025-01-21,11.9
2025-01-22,-2.2
2025-01-23,6.9
2025-01-24,12.4
2025-01-25,12.0
2025-01-26,17.2
2025-01-27,21.4
2025-01-28,19.5
2025-01-29,-8.4
2025-01-30,27.9
2025-01-31,9.8
2025-02-01,4.8
2025-02-02,8.7
2025-02-03,8.0
2025-02-04,-0.3
2025-02-05,20.0
2025-02-06,27.3
2025-02-07,22.9
2025-02-08,5.1
2025-02-09,-3.3
2025-02-10,15.1
2025-02-11,9.7
2025-02-12,22.1
2025-02-13,-6.9
2025-02-14,7.1
2025-02-15,25.8
2025-02-16,-3.9
2025-02-17,23.6
2025-02-18,18.7
2025-02-19,-7.4
2025-02-20,-0.3
2025-02-21,-3.0
2025-02-22,25.2
2025-02-23,-1.8
2025-02-24,-8.8
2025-02-25,-8.4
2025-02-26,9.4
2025-02-27,27.6
2025-02-28,-8.0
2025-03-01,4.0
2025-03-02,9.9
2025-03-03,5.8
2025-03-04,15.5
2025-03-05,-7.9
2025-03-06,13.5
2025-03-07,17.9
2025-03-08,9.9
2025-03-09,-4.6
2025-03-10,12.2
2025-03-11,-4.3
2025-03-12,22.2
2025-03-13,-5.1
2025-03-14,-5.9
2025-03-15,7.4
2025-03-16,26.6
2025-03-17,4.9
2025-03-18,-8.4
2025-03-19,10.6
2025-03-20,11.0
2025-03-21,23.1
2025-03-22,2.1
2025-03-23,-6.7
2025-03-24,-9.7
2025-03-25,23.1
2025-03-26,13.6
2025-03-27,9.1
2025-03-28,-4.2
2025-03-29,0.9
2025-03-30,7.6
2025-03-31,25.2
2025-04-01,-2.5
2025-04-02,0.7
2025-04-03,20.7
2025-04-04,27.3
2025-04-05,-9.3
2025-04-06,4.5
2025-04-07,5.2
2025-04-08,13.1
2025-04-09,21.9
2025-04-10,3.2
2025-04-11,11.7
2025-04-12,25.2
2025-04-13,9.8
2025-04-14,10.0
2025-04-15,23.0
2025-04-16,2.2
2025-04-17,4.3
2025-04-18,3.7
2025-04-19,0.8
2025-04-20,6.4
2025-04-21,18.9
2025-04-22,13.1
2025-04-23,6.7
2025-04-24,-6.1
2025-04-25,22.8
2025-04-26,10.6
2025-04-27,-7.5
2025-04-28,-2.3
2025-04-29,27.3
2025-04-30,28.4
2025-05-01,-5.8
2025-05-02,11.2
2025-05-03,-1.1
2025-05-04,14.5
2025-05-05,16.8
2025-05-06,-9.5
2025-05-07,-3.2
2025-05-08,27.0
2025-05-09,13.2
2025-05-10,6.9
2025-05-11,13.8
2025-05-12,9.4
2025-05-13,-4.1
2025-05-14,6.5
2025-05-15,9.5
2025-05-16,-5.4
2025-05-17,-8.4
2025-05-18,24.2
2025-05-19,10.8
2025-05-20,-9.9
2025-05-21,-3.0
2025-05-22,-8.4
2025-05-23,17.4
2025-05-24,-5.1
2025-05-25,26.2
2025-05-26,5.6
2025-05-27,-4.9
2025-05-28,12.5
2025-05-29,4.7
2025-05-30,4.7
2025-05-31,13.0
2025-06-01,-0.7
2025-06-02,6.1
2025-06-03,11.9
2025-06-04,24.4
2025-06-05,11.0
2025-06-06,17.4
2025-06-07,8.9
2025-06-08,7.3
