date,temperature
2023-06-10,14.9
2023-06-11,12.2
2023-06-12,3.2
2023-06-13,14.8
2023-06-14,18.1
2023-06-15,26.3
2023-06-16,12.4
2023-06-17,27.7
2023-06-18,28.4
2023-06-19,10.1
2023-06-20,22.9
2023-06-21,28.9
2023-06-22,19.5
2023-06-23,-3.0
2023-06-24,21.6
2023-06-25,-2.5
2023-06-26,28.8
2023-06-27,6.7
2023-06-28,27.2
2023-06-29,0.0
2023-06-30,10.3
2023-07-01,2.0
2023-07-02,25.9
2023-07-03,11.7
2023-07-04,24.1
2023-07-05,24.4
2023-07-06,15.0
2023-07-07,4.2
2023-07-08,14.0
2023-07-09,17.8
2023-07-10,18.5
2023-07-11,-3.1
2023-07-12,14.2
2023-07-13,3.7
2023-07-14,5.2
2023-07-15,20.8
2023-07-16,26.9
2023-07-17,18.5
2023-07-18,2.6
2023-07-19,-1.5
2023-07-20,10.9
2023-07-21,8.6
2023-07-22,5.9
2023-07-23,-1.2
2023-07-24,18.7
2023-07-25,-0.2
2023-07-26,15.9
2023-07-27,20.3
2023-07-28,22.6
2023-07-29,1.6
2023-07-30,10.6
2023-07-31,18.8
2023-08-01,9.4
2023-08-02,26.5
2023-08-03,-3.4
2023-08-04,22.0
2023-08-05,4.0
2023-08-06,-3.5
2023-08-07,19.3
2023-08-08,22.9
2023-08-09,-3.6
2023-08-10,13.8
2023-08-11,28.2
2023-08-12,19.0
2023-08-13,10.2
2023-08-14,2.7
2023-08-15,28.6
2023-08-16,29.2
2023-08-17,3.4
2023-08-18,2.8
2023-08-19,15.2
2023-08-20,-4.0
2023-08-21,-3.8
2023-08-22,-4.0
2023-08-23,10.5
2023-08-24,3.1
2023-08-25,7.0
2023-08-26,-2.6
2023-08-27,4.2
2023-08-28,7.6
2023-08-29,10.4
2023-08-30,20.5
2023-08-31,29.0
2023-09-01,26.7
2023-09-02,7.8
2023-09-03,21.6
2023-09-04,15.4
2023-09-05,-2.9
2023-09-06,6.0
2023-09-07,6.3
2023-09-08,-1.8
2023-09-09,-3.9
2023-09-10,19.0
2023-09-11,11.7
2023-09-12,6.7
2023-09-13,16.9
2023-09-14,3.6
2023-09-15,11.8
2023-09-16,13.4
2023-09-17,26.3
2023-09-18,23.0
2023-09-19,-1.5
2023-09-20,22.3
2023-09-21,9.0
2023-09-22,8.4
2023-09-23,13.6
2023-09-24,22.4
2023-09-25,29.2
2023-09-26,11.2
2023-09-27,16.5
2023-09-28,-0.3
2023-09-29,18.3
2023-09-30,0.8
2023-10-01,7.8
2023-10-02,0.6
2023-10-03,25.7
2023-10-04,1.8
2023-10-05,26.8
2023-10-06,25.5
2023-10-07,22.5
2023-10-08,1.9
2023-10-09,27.7
2023-10-10,2.4
2023-10-11,-3.2
2023-10-12,14.0
2023-10-13,-3.1
2023-10-14,-4.9
2023-10-15,3.3
2023-10-16,21.5
2023-10-17,29.0
2023-10-18,26.3
2023-10-19,13.4
2023-10-20,29.7
2023-10-21,12.7
2023-10-22,13.7
2023-10-23,8.5
2023-10-24,11.7
2023-10-25,8.2
2023-10-26,14.7
2023-10-27,10.8
2023-10-28,4.4
2023-10-29,4.1
2023-10-30,-0.7
2023-10-31,-1.2
2023-11-01,19.0
2023-11-02,22.4
2023-11-03,24.4
2023-11-04,25.8
2023-11-05,26.7
2023-11-06,18.4
2023-11-07,17.3
2023-11-08,10.3
2023-11-09,11.8
2023-11-10,29.2
2023-11-11,1.4
2023-11-12,-0.9
2023-11-13,9.3
2023-11-14,-4.8
2023-11-15,26.6
