date,temperature
2023-06-10,32.9
2023-06-11,24.9
2023-06-12,23.7
2023-06-13,15.1
2023-06-14,12.9
2023-06-15,17.8
2023-06-16,14.8
2023-06-17,21.5
2023-06-18,20.8
2023-06-19,10.5
2023-06-20,30.1
2023-06-21,27.9
2023-06-22,28.9
2023-06-23,22.4
2023-06-24,26.5
2023-06-25,29.7
2023-06-26,11.6
2023-06-27,37.6
2023-06-28,32.2
2023-06-29,12.7
2023-06-30,37.3
2023-07-01,19.0
2023-07-02,20.4
2023-07-03,30.1
2023-07-04,35.7
2023-07-05,32.4
2023-07-06,38.5
2023-07-07,18.8
2023-07-08,21.0
2023-07-09,29.3
2023-07-10,21.9
2023-07-11,14.7
2023-07-12,16.8
2023-07-13,13.5
2023-07-14,25.9
2023-07-15,15.3
2023-07-16,19.8
2023-07-17,34.0
2023-07-18,20.7
2023-07-19,34.0
2023-07-20,26.8
2023-07-21,13.9
2023-07-22,28.6
2023-07-23,38.0
2023-07-24,37.8
2023-07-25,37.5
2023-07-26,35.2
2023-07-27,15.8
2023-07-28,31.7
2023-07-29,39.9
2023-07-30,14.1
2023-07-31,38.9
2023-08-01,15.1
2023-08-02,29.8
2023-08-03,10.0
2023-08-04,28.4
2023-08-05,35.6
2023-08-06,30.1
2023-08-07,21.6
2023-08-08,20.0
2023-08-09,35.2
2023-08-10,18.1
2023-08-11,13.0
2023-08-12,31.2
2023-08-13,36.9
2023-08-14,39.9
2023-08-15,20.6
2023-08-16,28.6
2023-08-17,32.2
2023-08-18,34.8
2023-08-19,35.0
2023-08-20,15.2
2023-08-21,26.1
2023-08-22,17.8
2023-08-23,28.3
2023-08-24,33.7
2023-08-25,25.1
2023-08-26,26.9
2023-08-27,19.7
2023-08-28,30.9
2023-08-29,13.2
2023-08-30,19.3
2023-08-31,32.6
2023-09-01,12.1
2023-09-02,20.4
2023-09-03,36.4
2023-09-04,35.0
2023-09-05,33.8
2023-09-06,31.9
2023-09-07,39.0
2023-09-08,19.9
2023-09-09,19.1
2023-09-10,22.4
2023-09-11,18.4
2023-09-12,34.0
2023-09-13,35.8
2023-09-14,18.8
2023-09-15,35.3
2023-09-16,20.5
2023-09-17,33.4
2023-09-18,14.7
2023-09-19,21.7
2023-09-20,19.4
2023-09-21,38.3
2023-09-22,23.7
2023-09-23,21.9
2023-09-24,12.2
2023-09-25,36.7
2023-09-26,35.4
2023-09-27,30.1
2023-09-28,20.2
2023-09-29,35.7
2023-09-30,28.5
2023-10-01,19.4
2023-10-02,30.1
2023-10-03,31.2
2023-10-04,13.9
2023-10-05,32.1
2023-10-06,30.4
2023-10-07,17.3
2023-10-08,27.6
2023-10-09,40.0
2023-10-10,31.5
2023-10-11,36.8
2023-10-12,36.9
2023-10-13,23.2
2023-10-14,24.3
2023-10-15,29.7
2023-10-16,21.8
2023-10-17,26.3
2023-10-18,13.1
2023-10-19,23.3
2023-10-20,13.5
2023-10-21,28.6
2023-10-22,30.7
2023-10-23,13.1
2023-10-24,22.0
2023-10-25,15.9
2023-10-26,25.5
2023-10-27,12.1
2023-10-28,35.6
2023-10-29,26.5
2023-10-30,34.8
2023-10-31,19.1
2023-11-01,13.3
2023-11-02,26.2
2023-11-03,32.1
2023-11-04,24.3
2023-11-05,14.1
2023-11-06,14.8
2023-11-07,34.9
2023-11-08,30.4
2023-11-09,33.9
2023-11-10,16.5
2023-11-11,33.8
2023-11-12,15.2
2023-11-13,15.5
2023-11-14,11.6
2023-11-15,22.7
2023-11-16,33.1
2023-11-17,23.6
2023-11-18,35.5
2023-11-19,11.7
2023-11-20,38.9
2023-11-21,30.4
2023-11-22,12.5
2023-11-23,37.3
2023-11-24,10.7
2023-11-25,15.1
2023-11-26,33.2
2023-11-27,22.8
2023-11-28,17.1
2023-11-29,24.4
2023-11-30,18.4
2023-12-01,24.1
2023-12-02,12.6
2023-12-03,14.8
2023-12-04,19.2
2023-12-05,29.5
2023-12-06,32.8
2023-12-07,12.7
2023-12-08,12.6
2023-12-09,36.1
2023-12-10,28.0
2023-12-11,17.7
2023-12-12,30.3
2023-12-13,31.9
2023-12-14,27.0
2023-12-15,19.7
2023-12-16,21.0
2023-12-17,36.0
2023-12-18,26.6
2023-12-19,24.8
2023-12-20,25.0
2023-12-21,19.4
2023-12-22,29.4
2023-12-23,27.5
2023-12-24,31.7
2023-12-25,31.9
2023-12-26,30.6
2023-12-27,16.2
2023-12-28,34.0
2023-12-29,29.0
2023-12-30,16.6
2023-12-31,14.7
2024-01-01,17.6
2024-01-02,21.1
2024-01-03,15.6
2024-01-04,14.5
2024-01-05,36.9
2024-01-06,29.6
2024-01-07,12.6
2024-01-08,36.8
2024-01-09,22.8
2024-01-10,38.1
2024-01-11,27.1
2024-01-12,36.0
2024-01-13,21.7
2024-01-14,11.2
2024-01-15,29.7
2024-01-16,39.7
2024-01-17,27.2
2024-01-18,24.8
2024-01-19,21.0
2024-01-20,14.4
2024-01-21,10.5
2024-01-22,34.5
2024-01-23,26.4
2024-01-24,15.5
2024-01-25,29.1
2024-01-26,36.2
2024-01-27,37.8
2024-01-28,13.1
2024-01-29,17.3
2024-01-30,36.3
2024-01-31,25.9
2024-02-01,37.2
2024-02-02,29.6
2024-02-03,14.2
2024-02-04,39.0
2024-02-05,13.6
2024-02-06,16.8
2024-02-07,26.4
2024-02-08,29.2
2024-02-09,24.6
2024-02-10,39.6
2024-02-11,30.6
2024-02-12,14.4
2024-02-13,13.2
2024-02-14,23.7
2024-02-15,16.1
2024-02-16,14.2
2024-02-17,17.1
2024-02-18,27.2
2024-02-19,28.2
2024-02-20,28.7
2024-02-21,33.8
2024-02-22,32.1
2024-02-23,13.2
2024-02-24,33.0
2024-02-25,10.7
2024-02-26,10.1
2024-02-27,25.8
2024-02-28,17.5
2024-02-29,29.4
2024-03-01,38.1
2024-03-02,16.6
2024-03-03,30.9
2024-03-04,23.3
2024-03-05,23.6
2024-03-06,15.8
2024-03-07,34.5
2024-03-08,28.7
2024-03-09,34.8
2024-03-10,36.8
2024-03-11,18.6
2024-03-12,33.7
2024-03-13,39.7
2024-03-14,17.7
2024-03-15,25.9
2024-03-16,27.8
2024-03-17,17.6
2024-03-18,20.3
2024-03-19,12.3
2024-03-20,13.7
2024-03-21,10.2
2024-03-22,19.8
2024-03-23,28.9
2024-03-24,27.9
2024-03-25,10.9
2024-03-26,17.6
2024-03-27,29.8
2024-03-28,15.4
2024-03-29,17.5
2024-03-30,29.3
2024-03-31,15.4
2024-04-01,27.5
2024-04-02,16.0
2024-04-03,39.6
2024-04-04,35.3
2024-04-05,33.6
2024-04-06,29.2
2024-04-07,29.5
2024-04-08,14.2
2024-04-09,21.6
2024-04-10,18.8
2024-04-11,28.9
2024-04-12,13.9
2024-04-13,24.4
2024-04-14,10.6
2024-04-15,10.9
2024-04-16,24.0
2024-04-17,33.5
2024-04-18,17.5
2024-04-19,16.3
2024-04-20,10.8
2024-04-21,21.2
2024-04-22,20.3
2024-04-23,15.5
2024-04-24,25.1
2024-04-25,36.0
2024-04-26,15.5
2024-04-27,12.2
2024-04-28,17.4
2024-04-29,38.0
2024-04-30,25.5
2024-05-01,37.1
2024-05-02,12.5
2024-05-03,26.5
2024-05-04,21.4
2024-05-05,14.1
2024-05-06,27.1
2024-05-07,36.5
2024-05-08,17.1
2024-05-09,16.7
2024-05-10,29.9
2024-05-11,36.8
2024-05-12,17.4
2024-05-13,38.5
2024-05-14,23.4
2024-05-15,34.7
2024-05-16,23.5
2024-05-17,27.6
2024-05-18,26.3
2024-05-19,10.9
2024-05-20,28.5
2024-05-21,13.7
2024-05-22,16.7
2024-05-23,29.0
2024-05-24,10.8
2024-05-25,17.1
2024-05-26,40.0
2024-05-27,20.6
2024-05-28,23.3
2024-05-29,37.4
2024-05-30,30.5
2024-05-31,11.1
2024-06-01,39.6
2024-06-02,37.4
2024-06-03,24.0
2024-06-04,37.2
2024-06-05,21.9
2024-06-06,16.7
2024-06-07,37.2
2024-06-08,12.6
2024-06-09,28.7
2024-06-10,23.9
2024-06-11,35.2
2024-06-12,29.1
2024-06-13,20.4
2024-06-14,24.0
2024-06-15,11.8
2024-06-16,37.3
2024-06-17,26.1
2024-06-18,33.0
2024-06-19,28.9
2024-06-20,11.6
2024-06-21,28.0
2024-06-22,11.5
2024-06-23,38.7
2024-06-24,33.9
2024-06-25,38.5
2024-06-26,28.5
2024-06-27,16.1
2024-06-28,21.0
2024-06-29,38.2
2024-06-30,25.1
2024-07-01,25.0
2024-07-02,26.7
2024-07-03,21.2
2024-07-04,24.6
2024-07-05,22.1
2024-07-06,21.8
2024-07-07,20.5
2024-07-08,30.6
2024-07-09,37.7
2024-07-10,34.6
2024-07-11,39.2
2024-07-12,32.3
2024-07-13,39.1
2024-07-14,30.8
2024-07-15,15.7
2024-07-16,38.3
2024-07-17,28.6
2024-07-18,36.2
2024-07-19,31.3
2024-07-20,26.8
2024-07-21,23.3
2024-07-22,12.0
2024-07-23,17.9
2024-07-24,31.3
2024-07-25,24.3
2024-07-26,17.1
2024-07-27,35.9
2024-07-28,23.2
2024-07-29,37.0
2024-07-30,17.9
2024-07-31,34.7
2024-08-01,10.9
2024-08-02,16.8
2024-08-03,32.6
2024-08-04,21.6
2024-08-05,23.2
2024-08-06,18.8
2024-08-07,28.0
2024-08-08,29.3
2024-08-09,16.6
2024-08-10,39.7
2024-08-11,14.2
2024-08-12,26.6
2024-08-13,12.0
2024-08-14,27.6
2024-08-15,17.6
2024-08-16,25.8
2024-08-17,13.4
2024-08-18,11.0
2024-08-19,39.0
2024-08-20,23.0
2024-08-21,26.3
2024-08-22,35.5
2024-08-23,33.4
2024-08-24,38.8
2024-08-25,36.1
2024-08-26,24.9
2024-08-27,15.9
2024-08-28,27.0
2024-08-29,27.9
2024-08-30,22.5
2024-08-31,16.7
2024-09-01,27.0
2024-09-02,39.7
2024-09-03,16.5
2024-09-04,28.3
2024-09-05,24.4
2024-09-06,38.4
2024-09-07,23.3
2024-09-08,21.6
2024-09-09,13.9
2024-09-10,36.8
2024-09-11,24.4
2024-09-12,13.9
2024-09-13,25.8
2024-09-14,24.7
2024-09-15,20.7
2024-09-16,23.0
2024-09-17,39.3
2024-09-18,35.5
2024-09-19,13.6
2024-09-20,39.0
2024-09-21,15.1
2024-09-22,29.0
2024-09-23,13.7
2024-09-24,21.5
2024-09-25,14.0
2024-09-26,19.1
2024-09-27,20.7
2024-09-28,39.6
2024-09-29,36.7
2024-09-30,27.2
2024-10-01,19.4
2024-10-02,14.3
2024-10-03,30.3
2024-10-04,31.8
2024-10-05,21.1
2024-10-06,33.2
2024-10-07,23.3
2024-10-08,18.0
2024-10-09,34.8
2024-10-10,25.2
2024-10-11,12.3
2024-10-12,27.6
2024-10-13,29.1
2024-10-14,16.1
2024-10-15,13.4
2024-10-16,12.7
2024-10-17,33.9
2024-10-18,17.9
2024-10-19,16.0
2024-10-20,21.9
2024-10-21,20.1
2024-10-22,15.6
2024-10-23,33.2
2024-10-24,25.7
2024-10-25,28.0
2024-10-26,10.7
2024-10-27,24.5
2024-10-28,37.7
2024-10-29,30.3
2024-10-30,20.1
2024-10-31,37.4
2024-11-01,29.6
2024-11-02,35.7
2024-11-03,27.5
2024-11-04,34.4
2024-11-05,10.1
2024-11-06,29.6
2024-11-07,11.5
2024-11-08,36.0
2024-11-09,25.4
2024-11-10,34.3
2024-11-11,12.7
2024-11-12,20.5
2024-11-13,14.8
2024-11-14,39.4
2024-11-15,38.0
2024-11-16,29.3
2024-11-17,32.4
2024-11-18,13.6
2024-11-19,20.6
2024-11-20,24.0
2024-11-21,10.4
2024-11-22,25.4
2024-11-23,35.4
2024-11-24,23.2
2024-11-25,32.2
2024-11-26,23.4
2024-11-27,23.1
2024-11-28,18.2
2024-11-29,11.8
2024-11-30,38.6
2024-12-01,37.5
2024-12-02,27.1
2024-12-03,23.9
2024-12-04,24.0
2024-12-05,28.9
2024-12-06,26.7
2024-12-07,24.9
2024-12-08,33.7
2024-12-09,17.8
2024-12-10,25.0
2024-12-11,32.7
2024-12-12,38.6
2024-12-13,11.8
2024-12-14,35.0
2024-12-15,28.5
2024-12-16,18.0
2024-12-17,17.9
2024-12-18,29.2
2024-12-19,22.7
2024-12-20,16.5
2024-12-21,31.9
2024-12-22,32.3
2024-12-23,35.2
2024-12-24,31.2
2024-12-25,14.9
2024-12-26,35.9
2024-12-27,15.1
