date,temperature
2023-06-10,-4.0
2023-06-11,17.1
2023-06-12,-17.1
2023-06-13,16.3
2023-06-14,-14.2
2023-06-15,-7.1
2023-06-16,17.2
2023-06-17,13.5
2023-06-18,12.4
2023-06-19,8.9
2023-06-20,-14.9
2023-06-21,-18.1
2023-06-22,7.0
2023-06-23,17.8
2023-06-24,14.8
2023-06-25,14.3
2023-06-26,-13.1
2023-06-27,-3.8
2023-06-28,-5.4
2023-06-29,-12.2
2023-06-30,12.0
2023-07-01,5.6
2023-07-02,16.0
2023-07-03,11.0
2023-07-04,-15.3
2023-07-05,8.3
2023-07-06,-13.3
2023-07-07,-12.6
2023-07-08,18.7
2023-07-09,-2.7
2023-07-10,13.5
2023-07-11,-5.6
2023-07-12,-6.7
2023-07-13,19.5
2023-07-14,17.1
2023-07-15,14.4
2023-07-16,13.6
2023-07-17,-16.0
2023-07-18,16.2
2023-07-19,-13.0
2023-07-20,2.5
2023-07-21,-13.7
2023-07-22,1.4
2023-07-23,6.8
2023-07-24,17.8
2023-07-25,-16.9
2023-07-26,-2.7
2023-07-27,1.5
2023-07-28,13.5
2023-07-29,12.3
2023-07-30,19.2
2023-07-31,-8.2
2023-08-01,-16.4
2023-08-02,12.8
2023-08-03,3.1
2023-08-04,-5.2
2023-08-05,6.9
2023-08-06,-16.8
2023-08-07,10.6
2023-08-08,13.9
2023-08-09,2.0
2023-08-10,-2.2
2023-08-11,3.0
2023-08-12,-8.8
2023-08-13,12.8
2023-08-14,-2.4
2023-08-15,-4.1
2023-08-16,6.8
2023-08-17,-17.8
2023-08-18,-18.9
2023-08-19,16.4
2023-08-20,4.5
2023-08-21,-19.1
2023-08-22,6.0
2023-08-23,-3.2
2023-08-24,3.6
2023-08-25,12.4
2023-08-26,-5.1
2023-08-27,6.5
2023-08-28,7.4
2023-08-29,-0.1
2023-08-30,-7.6
2023-08-31,-16.4
2023-09-01,8.5
2023-09-02,-17.9
2023-09-03,-7.1
2023-09-04,2.5
2023-09-05,-1.0
2023-09-06,13.3
2023-09-07,11.3
2023-09-08,2.4
2023-09-09,-15.4
2023-09-10,14.3
2023-09-11,3.1
2023-09-12,9.9
2023-09-13,-0.5
2023-09-14,6.7
2023-09-15,1.5
2023-09-16,-6.2
2023-09-17,17.3
2023-09-18,-6.6
2023-09-19,-8.6
2023-09-20,6.3
2023-09-21,18.0
2023-09-22,14.5
2023-09-23,8.0
2023-09-24,10.8
2023-09-25,-16.4
2023-09-26,-11.8
2023-09-27,19.1
2023-09-28,-14.9
2023-09-29,-2.8
2023-09-30,18.4
2023-10-01,8.4
2023-10-02,-2.3
2023-10-03,-15.5
2023-10-04,-1.5
2023-10-05,5.5
2023-10-06,-1.8
2023-10-07,2.5
2023-10-08,14.1
2023-10-09,-20.0
2023-10-10,16.9
2023-10-11,11.8
2023-10-12,-14.5
2023-10-13,14.6
2023-10-14,-9.1
2023-10-15,9.7
2023-10-16,3.9
2023-10-17,4.7
2023-10-18,0.9
2023-10-19,-12.4
2023-10-20,8.2
2023-10-21,1.5
2023-10-22,10.7
2023-10-23,-18.7
2023-10-24,16.9
2023-10-25,15.6
2023-10-26,6.5
2023-10-27,-11.1
2023-10-28,17.8
2023-10-29,3.2
2023-10-30,-14.8
2023-10-31,2.0
2023-11-01,-7.9
2023-11-02,-5.5
2023-11-03,0.5
2023-11-04,-2.0
2023-11-05,-18.7
2023-11-06,-5.5
2023-11-07,12.7
2023-11-08,-2.3
2023-11-09,7.7
2023-11-10,-10.2
2023-11-11,15.2
2023-11-12,-10.8
2023-11-13,-19.3
2023-11-14,8.4
2023-11-15,6.7
2023-11-16,0.1
2023-11-17,-4.8
2023-11-18,-17.8
2023-11-19,13.4
2023-11-20,-2.5
2023-11-21,0.0
2023-11-22,4.5
2023-11-23,-15.5
2023-11-24,5.8
2023-11-25,11.6
2023-11-26,12.7
2023-11-27,7.8
2023-11-28,-12.7
2023-11-29,6.4
2023-11-30,-18.1
2023-12-01,18.9
2023-12-02,-0.1
2023-12-03,14.5
2023-12-04,0.3
2023-12-05,-5.0
2023-12-06,15.6
2023-12-07,3.7
2023-12-08,14.3
2023-12-09,19.1
2023-12-10,-10.3
2023-12-11,1.9
2023-12-12,-13.4
2023-12-13,-16.5
2023-12-14,-9.2
2023-12-15,12.3
2023-12-16,-8.7
2023-12-17,18.6
2023-12-18,13.7
2023-12-19,-3.7
2023-12-20,-13.5
2023-12-21,18.7
