date,temperature
2023-06-10,27.9
2023-06-11,0.6
2023-06-12,4.6
2023-06-13,17.2
2023-06-14,5.0
2023-06-15,0.2
2023-06-16,8.4
2023-06-17,14.4
2023-06-18,24.3
2023-06-19,25.7
2023-06-20,22.2
2023-06-21,27.4
2023-06-22,1.9
2023-06-23,0.3
2023-06-24,13.5
2023-06-25,24.9
2023-06-26,5.9
2023-06-27,28.1
2023-06-28,25.4
2023-06-29,28.3
2023-06-30,5.5
2023-07-01,1.9
2023-07-02,19.4
2023-07-03,26.8
2023-07-04,13.3
2023-07-05,13.3
2023-07-06,13.0
2023-07-07,0.5
2023-07-08,6.8
2023-07-09,20.8
2023-07-10,21.5
2023-07-11,6.0
2023-07-12,24.4
2023-07-13,14.0
2023-07-14,13.6
2023-07-15,7.0
2023-07-16,26.7
2023-07-17,20.3
2023-07-18,1.2
2023-07-19,4.2
2023-07-20,25.0
2023-07-21,19.0
2023-07-22,24.2
2023-07-23,2.8
2023-07-24,10.6
2023-07-25,19.4
2023-07-26,6.8
2023-07-27,29.7
2023-07-28,28.5
2023-07-29,0.2
2023-07-30,9.8
2023-07-31,27.8
2023-08-01,20.7
2023-08-02,27.0
2023-08-03,6.9
2023-08-04,15.7
2023-08-05,6.5
2023-08-06,9.8
2023-08-07,4.1
2023-08-08,23.7
2023-08-09,17.5
2023-08-10,20.9
2023-08-11,9.3
2023-08-12,29.6
2023-08-13,22.8
2023-08-14,12.7
2023-08-15,22.4
2023-08-16,4.7
2023-08-17,3.7
2023-08-18,14.3
2023-08-19,20.9
2023-08-20,13.7
2023-08-21,12.2
2023-08-22,25.6
2023-08-23,20.6
2023-08-24,28.5
2023-08-25,10.3
2023-08-26,25.4
2023-08-27,9.0
2023-08-28,17.4
2023-08-29,2.9
2023-08-30,17.3
2023-08-31,26.6
2023-09-01,29.5
2023-09-02,9.8
2023-09-03,6.5
2023-09-04,7.5
2023-09-05,28.4
2023-09-06,28.2
2023-09-07,25.8
2023-09-08,6.2
2023-09-09,26.3
2023-09-10,17.0
2023-09-11,24.3
2023-09-12,22.7
2023-09-13,19.4
2023-09-14,16.1
2023-09-15,20.3
2023-09-16,26.0
2023-09-17,17.0
2023-09-18,0.9
2023-09-19,22.8
2023-09-20,1.3
2023-09-21,2.3
2023-09-22,25.6
2023-09-23,25.6
2023-09-24,21.6
2023-09-25,19.8
2023-09-26,19.9
2023-09-27,28.6
2023-09-28,2.6
2023-09-29,2.9
2023-09-30,7.2
2023-10-01,8.5
2023-10-02,15.1
2023-10-03,25.5
2023-10-04,16.6
2023-10-05,9.3
2023-10-06,1.6
2023-10-07,21.8
2023-10-08,8.9
2023-10-09,7.3
2023-10-10,12.1
2023-10-11,9.8
2023-10-12,24.9
2023-10-13,21.9
2023-10-14,29.4
2023-10-15,0.4
2023-10-16,9.2
2023-10-17,15.3
2023-10-18,18.8
2023-10-19,18.4
2023-10-20,16.9
2023-10-21,3.5
2023-10-22,18.7
2023-10-23,15.6
2023-10-24,1.4
2023-10-25,0.0
2023-10-26,25.7
2023-10-27,22.5
2023-10-28,28.4
2023-10-29,0.2
2023-10-30,3.6
2023-10-31,1.2
2023-11-01,28.4
2023-11-02,26.8
2023-11-03,20.9
2023-11-04,15.0
2023-11-05,1.4
2023-11-06,1.0
2023-11-07,22.5
2023-11-08,11.5
2023-11-09,3.4
2023-11-10,4.9
2023-11-11,6.5
2023-11-12,10.3
2023-11-13,19.1
2023-11-14,5.1
2023-11-15,15.9
2023-11-16,17.0
2023-11-17,28.3
2023-11-18,12.8
2023-11-19,22.2
2023-11-20,0.6
2023-11-21,5.6
2023-11-22,27.5
2023-11-23,25.3
2023-11-24,11.3
2023-11-25,19.0
2023-11-26,25.2
2023-11-27,9.3
2023-11-28,21.8
2023-11-29,5.3
2023-11-30,18.1
2023-12-01,9.2
2023-12-02,20.1
2023-12-03,22.3
2023-12-04,0.9
2023-12-05,16.7
2023-12-06,29.4
2023-12-07,5.5
2023-12-08,21.5
2023-12-09,27.7
2023-12-10,25.8
2023-12-11,25.1
2023-12-12,13.4
2023-12-13,5.5
2023-12-14,19.0
2023-12-15,21.2
2023-12-16,7.1
2023-12-17,3.2
2023-12-18,13.0
2023-12-19,10.5
2023-12-20,8.5
2023-12-21,1.3
2023-12-22,13.2
2023-12-23,26.6
2023-12-24,19.8
2023-12-25,5.9
2023-12-26,7.4
2023-12-27,6.1
2023-12-28,28.6
2023-12-29,29.9
2023-12-30,19.7
2023-12-31,13.1
2024-01-01,23.1
2024-01-02,6.0
2024-01-03,13.0
2024-01-04,6.4
2024-01-05,8.9
2024-01-06,6.0
2024-01-07,29.3
2024-01-08,5.5
2024-01-09,1.6
2024-01-10,6.7
2024-01-11,18.7
2024-01-12,5.6
2024-01-13,15.6
2024-01-14,21.5
2024-01-15,26.3
2024-01-16,17.2
2024-01-17,27.2
2024-01-18,24.6
2024-01-19,28.6
2024-01-20,4.7
2024-01-21,18.7
2024-01-22,19.2
2024-01-23,7.2
2024-01-24,4.6
2024-01-25,18.0
2024-01-26,19.8
2024-01-27,25.7
2024-01-28,8.7
2024-01-29,3.4
2024-01-30,20.1
2024-01-31,15.9
2024-02-01,0.3
2024-02-02,13.5
2024-02-03,10.4
2024-02-04,15.9
2024-02-05,14.2
2024-02-06,13.1
2024-02-07,13.8
2024-02-08,18.1
2024-02-09,21.7
2024-02-10,7.8
2024-02-11,2.1
2024-02-12,7.3
2024-02-13,16.2
2024-02-14,1.5
2024-02-15,6.4
2024-02-16,19.1
2024-02-17,5.9
2024-02-18,29.5
2024-02-19,4.9
2024-02-20,5.9
2024-02-21,29.6
2024-02-22,3.2
2024-02-23,9.9
2024-02-24,9.8
2024-02-25,11.5
2024-02-26,15.4
2024-02-27,14.2
2024-02-28,1.4
2024-02-29,16.0
2024-03-01,18.5
2024-03-02,10.3
2024-03-03,16.8
2024-03-04,29.7
2024-03-05,27.5
2024-03-06,12.8
2024-03-07,12.7
2024-03-08,20.9
2024-03-09,0.1
2024-03-10,23.1
2024-03-11,29.7
2024-03-12,7.0
2024-03-13,22.8
2024-03-14,29.9
2024-03-15,23.7
2024-03-16,7.8
2024-03-17,23.7
2024-03-18,12.9
2024-03-19,5.1
2024-03-20,1.8
2024-03-21,26.1
2024-03-22,11.3
2024-03-23,17.2
2024-03-24,27.1
2024-03-25,20.2
2024-03-26,1.4
2024-03-27,0.1
2024-03-28,4.5
2024-03-29,26.3
2024-03-30,1.8
2024-03-31,5.2
2024-04-01,23.7
2024-04-02,26.0
2024-04-03,4.3
2024-04-04,17.9
2024-04-05,24.8
2024-04-06,11.1
2024-04-07,20.8
2024-04-08,3.6
2024-04-09,8.7
2024-04-10,3.1
2024-04-11,2.8
2024-04-12,15.3
2024-04-13,5.6
2024-04-14,25.1
2024-04-15,21.2
2024-04-16,6.4
2024-04-17,18.2
2024-04-18,11.5
2024-04-19,21.9
2024-04-20,0.2
2024-04-21,18.9
2024-04-22,15.1
2024-04-23,5.7
2024-04-24,24.8
2024-04-25,2.9
2024-04-26,15.5
2024-04-27,14.7
2024-04-28,12.4
2024-04-29,13.7
2024-04-30,1.1
2024-05-01,28.7
2024-05-02,2.2
2024-05-03,0.8
2024-05-04,8.1
2024-05-05,25.5
2024-05-06,29.3
2024-05-07,9.1
2024-05-08,9.6
2024-05-09,22.7
2024-05-10,15.3
2024-05-11,6.3
2024-05-12,16.8
2024-05-13,12.9
2024-05-14,10.1
2024-05-15,7.5
2024-05-16,24.2
2024-05-17,24.6
2024-05-18,26.6
2024-05-19,11.9
2024-05-20,24.9
2024-05-21,7.8
2024-05-22,16.5
2024-05-23,4.9
2024-05-24,0.5
2024-05-25,5.6
2024-05-26,17.1
2024-05-27,2.0
2024-05-28,23.2
2024-05-29,20.3
2024-05-30,24.8
2024-05-31,14.4
2024-06-01,29.5
2024-06-02,8.7
2024-06-03,17.3
2024-06-04,19.0
2024-06-05,22.3
2024-06-06,23.9
2024-06-07,16.4
2024-06-08,11.5
2024-06-09,3.9
2024-06-10,29.7
2024-06-11,25.5
2024-06-12,19.4
2024-06-13,11.2
2024-06-14,17.8
2024-06-15,3.6
2024-06-16,27.5
2024-06-17,23.2
2024-06-18,25.6
2024-06-19,16.2
2024-06-20,20.9
2024-06-21,6.4
2024-06-22,0.3
2024-06-23,29.0
2024-06-24,12.2
2024-06-25,22.8
2024-06-26,22.2
2024-06-27,29.2
2024-06-28,6.6
2024-06-29,14.9
2024-06-30,16.2
2024-07-01,29.3
2024-07-02,28.1
2024-07-03,15.0
2024-07-04,10.0
2024-07-05,14.9
2024-07-06,25.0
2024-07-07,20.8
2024-07-08,18.8
2024-07-09,16.7
2024-07-10,3.1
2024-07-11,18.2
2024-07-12,15.1
2024-07-13,29.6
2024-07-14,7.7
2024-07-15,13.3
2024-07-16,18.2
2024-07-17,9.7
2024-07-18,11.7
2024-07-19,4.8
2024-07-20,16.4
2024-07-21,11.8
2024-07-22,18.7
2024-07-23,17.2
2024-07-24,10.2
2024-07-25,27.1
2024-07-26,8.1
2024-07-27,13.5
2024-07-28,20.0
2024-07-29,7.6
2024-07-30,26.5
2024-07-31,4.3
2024-08-01,26.7
2024-08-02,2.8
2024-08-03,7.8
2024-08-04,15.5
2024-08-05,28.4
2024-08-06,15.1
2024-08-07,15.6
2024-08-08,27.1
2024-08-09,11.5
2024-08-10,13.9
2024-08-11,26.3
2024-08-12,14.5
2024-08-13,4.6
2024-08-14,14.0
2024-08-15,2.7
2024-08-16,4.5
2024-08-17,17.2
2024-08-18,0.2
2024-08-19,21.4
2024-08-20,25.6
2024-08-21,9.7
2024-08-22,7.5
2024-08-23,17.3
2024-08-24,9.2
2024-08-25,2.0
2024-08-26,20.0
2024-08-27,1.8
2024-08-28,29.9
2024-08-29,27.1
2024-08-30,7.1
2024-08-31,29.8
2024-09-01,23.0
2024-09-02,24.7
2024-09-03,17.0
2024-09-04,22.5
2024-09-05,13.4
2024-09-06,8.9
2024-09-07,16.9
2024-09-08,20.2
2024-09-09,9.2
2024-09-10,23.1
2024-09-11,8.1
2024-09-12,25.8
2024-09-13,1.6
2024-09-14,18.2
2024-09-15,24.9
2024-09-16,12.6
2024-09-17,20.4
2024-09-18,2.4
2024-09-19,25.9
2024-09-20,14.6
2024-09-21,27.1
2024-09-22,6.5
