date,temperature
2023-06-10,13.3
2023-06-11,15.6
2023-06-12,26.7
2023-06-13,18.0
2023-06-14,11.2
2023-06-15,17.9
2023-06-16,26.1
2023-06-17,22.4
2023-06-18,22.1
2023-06-19,20.6
2023-06-20,24.3
2023-06-21,17.0
2023-06-22,17.0
2023-06-23,23.4
2023-06-24,19.9
2023-06-25,11.3
2023-06-26,25.7
2023-06-27,17.8
2023-06-28,25.7
2023-06-29,25.9
2023-06-30,25.1
2023-07-01,10.1
2023-07-02,19.5
2023-07-03,12.5
2023-07-04,13.1
2023-07-05,24.9
2023-07-06,10.6
2023-07-07,25.6
2023-07-08,18.8
2023-07-09,24.1
2023-07-10,29.1
2023-07-11,15.4
2023-07-12,14.0
2023-07-13,14.0
2023-07-14,16.4
2023-07-15,19.4
2023-07-16,11.6
2023-07-17,15.9
2023-07-18,26.1
2023-07-19,28.0
2023-07-20,17.2
2023-07-21,29.6
2023-07-22,15.9
2023-07-23,21.6
2023-07-24,20.8
2023-07-25,11.2
2023-07-26,28.9
2023-07-27,13.6
2023-07-28,24.2
2023-07-29,15.7
2023-07-30,25.8
2023-07-31,16.2
2023-08-01,27.2
2023-08-02,15.5
2023-08-03,29.8
2023-08-04,13.1
2023-08-05,12.8
2023-08-06,21.1
2023-08-07,11.4
2023-08-08,23.4
2023-08-09,28.0
2023-08-10,11.9
2023-08-11,28.3
2023-08-12,12.0
2023-08-13,21.9
2023-08-14,19.6
2023-08-15,16.3
2023-08-16,10.4
2023-08-17,13.6
2023-08-18,18.9
2023-08-19,22.6
2023-08-20,24.8
2023-08-21,18.5
2023-08-22,13.0
2023-08-23,10.0
2023-08-24,28.9
2023-08-25,11.6
2023-08-26,19.2
2023-08-27,24.4
2023-08-28,20.4
2023-08-29,15.1
2023-08-30,30.0
2023-08-31,12.4
2023-09-01,27.8
2023-09-02,29.3
2023-09-03,27.5
2023-09-04,28.7
2023-09-05,14.3
2023-09-06,27.9
2023-09-07,15.9
2023-09-08,13.1
2023-09-09,27.5
2023-09-10,11.0
2023-09-11,15.4
2023-09-12,23.5
2023-09-13,13.0
2023-09-14,29.5
2023-09-15,21.5
2023-09-16,18.5
2023-09-17,13.1
2023-09-18,23.3
2023-09-19,28.8
2023-09-20,22.0
2023-09-21,21.7
2023-09-22,29.4
2023-09-23,15.6
2023-09-24,11.7
2023-09-25,13.3
2023-09-26,29.6
2023-09-27,23.9
2023-09-28,16.1
2023-09-29,21.3
2023-09-30,23.5
2023-10-01,14.5
2023-10-02,27.4
2023-10-03,28.0
2023-10-04,16.2
2023-10-05,14.1
2023-10-06,26.9
2023-10-07,20.5
2023-10-08,29.0
2023-10-09,12.4
2023-10-10,12.7
2023-10-11,22.1
2023-10-12,19.0
2023-10-13,17.5
2023-10-14,29.0
2023-10-15,18.4
2023-10-16,21.2
2023-10-17,11.5
2023-10-18,26.4
2023-10-19,16.4
2023-10-20,15.7
2023-10-21,26.5
2023-10-22,13.3
2023-10-23,13.4
2023-10-24,23.4
2023-10-25,16.8
2023-10-26,28.1
2023-10-27,13.7
2023-10-28,21.0
2023-10-29,25.1
2023-10-30,14.3
2023-10-31,10.7
2023-11-01,12.3
2023-11-02,14.4
2023-11-03,27.3
2023-11-04,27.3
2023-11-05,18.9
2023-11-06,23.8
2023-11-07,24.1
2023-11-08,18.8
2023-11-09,29.7
2023-11-10,11.7
2023-11-11,11.0
2023-11-12,29.4
2023-11-13,20.3
2023-11-14,26.8
2023-11-15,18.9
2023-11-16,19.5
2023-11-17,21.0
2023-11-18,13.2
2023-11-19,27.9
2023-11-20,15.9
2023-11-21,11.1
2023-11-22,12.1
2023-11-23,26.2
2023-11-24,19.7
2023-11-25,24.7
2023-11-26,15.0
2023-11-27,10.7
2023-11-28,29.6
2023-11-29,15.5
2023-11-30,17.3
2023-12-01,23.4
2023-12-02,24.6
2023-12-03,10.1
2023-12-04,17.4
2023-12-05,16.4
2023-12-06,27.2
2023-12-07,22.0
2023-12-08,20.4
2023-12-09,14.5
2023-12-10,29.3
2023-12-11,17.4
2023-12-12,27.0
2023-12-13,17.4
2023-12-14,10.3
2023-12-15,29.5
2023-12-16,17.3
2023-12-17,17.1
2023-12-18,17.8
2023-12-19,14.9
2023-12-20,18.8
2023-12-21,25.6
2023-12-22,22.9
2023-12-23,28.7
2023-12-24,27.5
2023-12-25,23.8
2023-12-26,13.4
2023-12-27,10.7
2023-12-28,16.3
2023-12-29,26.1
2023-12-30,10.4
2023-12-31,15.3
2024-01-01,13.6
2024-01-02,25.0
2024-01-03,28.7
2024-01-04,27.7
2024-01-05,29.4
2024-01-06,27.6
2024-01-07,12.9
2024-01-08,10.3
2024-01-09,13.6
2024-01-10,25.5
2024-01-11,19.2
2024-01-12,15.1
2024-01-13,29.5
2024-01-14,28.6
2024-01-15,23.3
2024-01-16,17.9
2024-01-17,16.3
2024-01-18,15.9
2024-01-19,28.3
2024-01-20,25.7
2024-01-21,15.2
2024-01-22,22.0
2024-01-23,17.9
2024-01-24,19.0
2024-01-25,14.1
2024-01-26,12.9
2024-01-27,24.9
2024-01-28,16.9
2024-01-29,13.2
2024-01-30,20.3
2024-01-31,16.2
2024-02-01,10.4
2024-02-02,19.4
2024-02-03,20.7
2024-02-04,17.1
2024-02-05,17.3
2024-02-06,28.9
2024-02-07,11.3
2024-02-08,21.5
2024-02-09,27.7
2024-02-10,10.5
2024-02-11,21.8
2024-02-12,12.1
2024-02-13,12.9
2024-02-14,23.8
2024-02-15,22.3
2024-02-16,17.9
2024-02-17,22.0
2024-02-18,14.0
2024-02-19,11.6
2024-02-20,29.5
2024-02-21,22.1
2024-02-22,17.3
2024-02-23,17.4
2024-02-24,14.8
2024-02-25,23.6
2024-02-26,27.5
2024-02-27,22.3
2024-02-28,27.9
2024-02-29,23.2
2024-03-01,26.2
2024-03-02,14.9
2024-03-03,24.3
2024-03-04,26.5
2024-03-05,23.5
2024-03-06,17.1
2024-03-07,10.7
2024-03-08,25.7
2024-03-09,22.0
2024-03-10,11.0
2024-03-11,28.3
2024-03-12,26.7
2024-03-13,15.6
2024-03-14,23.5
2024-03-15,14.6
2024-03-16,26.9
2024-03-17,26.1
2024-03-18,16.3
2024-03-19,12.1
2024-03-20,16.2
2024-03-21,10.5
2024-03-22,23.6
2024-03-23,21.3
2024-03-24,14.1
2024-03-25,14.2
2024-03-26,20.3
2024-03-27,14.5
2024-03-28,14.2
2024-03-29,26.8
2024-03-30,14.0
2024-03-31,20.9
2024-04-01,13.4
