date,temperature
2023-06-10,5.1
2023-06-11,18.8
2023-06-12,11.6
2023-06-13,0.6
2023-06-14,-0.6
2023-06-15,13.6
2023-06-16,15.7
2023-06-17,-1.1
2023-06-18,8.8
2023-06-19,6.3
2023-06-20,-1.2
2023-06-21,12.5
2023-06-22,23.1
2023-06-23,2.8
2023-06-24,19.3
2023-06-25,19.4
2023-06-26,23.6
2023-06-27,4.0
2023-06-28,7.8
2023-06-29,3.0
2023-06-30,17.4
2023-07-01,16.1
2023-07-02,9.3
2023-07-03,17.5
2023-07-04,25.4
2023-07-05,12.3
2023-07-06,24.5
2023-07-07,26.3
2023-07-08,9.0
2023-07-09,9.6
2023-07-10,27.3
2023-07-11,-3.3
2023-07-12,-0.5
2023-07-13,18.2
2023-07-14,20.9
2023-07-15,14.5
2023-07-16,0.3
2023-07-17,-1.0
2023-07-18,8.9
2023-07-19,-1.5
2023-07-20,8.6
2023-07-21,3.5
2023-07-22,23.2
2023-07-23,24.2
2023-07-24,8.7
2023-07-25,5.1
2023-07-26,28.5
2023-07-27,14.0
2023-07-28,12.1
2023-07-29,10.1
2023-07-30,29.8
2023-07-31,28.6
2023-08-01,12.7
2023-08-02,3.5
2023-08-03,21.8
2023-08-04,29.1
2023-08-05,11.0
2023-08-06,13.1
2023-08-07,2.2
2023-08-08,24.8
2023-08-09,12.8
2023-08-10,26.4
2023-08-11,12.0
2023-08-12,-2.0
2023-08-13,-0.3
2023-08-14,25.3
2023-08-15,11.4
2023-08-16,-2.1
2023-08-17,5.7
2023-08-18,16.7
2023-08-19,-2.8
2023-08-20,23.6
2023-08-21,-3.6
2023-08-22,-1.8
2023-08-23,9.7
2023-08-24,10.8
2023-08-25,20.1
2023-08-26,-2.0
2023-08-27,24.4
2023-08-28,-0.7
2023-08-29,0.3
2023-08-30,-1.4
2023-08-31,21.3
2023-09-01,6.3
2023-09-02,9.4
2023-09-03,9.2
2023-09-04,-2.1
2023-09-05,-3.7
2023-09-06,27.6
2023-09-07,4.9
2023-09-08,6.6
2023-09-09,20.0
