date,temperature
2023-06-10,17.6
2023-06-11,5.3
2023-06-12,3.4
2023-06-13,23.3
2023-06-14,30.0
2023-06-15,12.4
2023-06-16,26.8
2023-06-17,20.2
2023-06-18,10.2
2023-06-19,27.8
2023-06-20,2.9
2023-06-21,13.1
2023-06-22,16.9
2023-06-23,13.4
2023-06-24,27.3
2023-06-25,19.0
2023-06-26,23.0
2023-06-27,13.2
2023-06-28,18.4
2023-06-29,11.3
2023-06-30,25.7
2023-07-01,4.9
2023-07-02,7.0
2023-07-03,8.3
2023-07-04,8.5
2023-07-05,17.0
2023-07-06,11.6
2023-07-07,29.2
2023-07-08,26.9
2023-07-09,2.2
2023-07-10,5.0
2023-07-11,18.2
2023-07-12,26.4
2023-07-13,14.9
2023-07-14,10.3
2023-07-15,12.0
2023-07-16,27.1
2023-07-17,5.0
2023-07-18,10.8
2023-07-19,0.7
2023-07-20,17.5
2023-07-21,10.3
2023-07-22,12.2
2023-07-23,12.8
2023-07-24,9.4
2023-07-25,8.7
2023-07-26,13.0
2023-07-27,6.7
2023-07-28,14.2
2023-07-29,21.0
2023-07-30,27.4
2023-07-31,20.1
2023-08-01,28.8
2023-08-02,7.3
2023-08-03,27.6
2023-08-04,1.0
2023-08-05,7.2
2023-08-06,2.9
2023-08-07,18.2
2023-08-08,14.9
2023-08-09,8.3
2023-08-10,15.5
2023-08-11,1.3
2023-08-12,9.4
2023-08-13,23.8
2023-08-14,4.1
2023-08-15,0.6
2023-08-16,14.2
2023-08-17,9.7
2023-08-18,16.6
2023-08-19,27.5
2023-08-20,29.8
2023-08-21,24.9
2023-08-22,28.3
2023-08-23,27.8
2023-08-24,12.2
2023-08-25,18.7
2023-08-26,9.2
2023-08-27,19.4
2023-08-28,29.7
2023-08-29,2.7
2023-08-30,14.7
2023-08-31,1.7
2023-09-01,14.1
2023-09-02,8.1
2023-09-03,15.0
2023-09-04,10.1
2023-09-05,11.3
2023-09-06,12.4
2023-09-07,1.5
2023-09-08,6.5
2023-09-09,8.7
2023-09-10,15.0
2023-09-11,15.3
2023-09-12,20.9
2023-09-13,17.4
2023-09-14,21.3
2023-09-15,12.6
2023-09-16,12.2
2023-09-17,27.8
2023-09-18,5.2
2023-09-19,21.0
2023-09-20,26.1
2023-09-21,19.0
2023-09-22,1.5
2023-09-23,4.6
2023-09-24,15.8
2023-09-25,20.7
2023-09-26,5.3
2023-09-27,20.6
2023-09-28,21.3
2023-09-29,18.8
2023-09-30,22.2
2023-10-01,11.4
2023-10-02,21.4
2023-10-03,20.4
2023-10-04,8.8
2023-10-05,28.0
2023-10-06,29.3
2023-10-07,23.9
2023-10-08,18.9
2023-10-09,1.8
2023-10-10,24.3
2023-10-11,23.7
2023-10-12,29.6
2023-10-13,25.6
2023-10-14,19.4
2023-10-15,20.6
2023-10-16,0.3
2023-10-17,12.6
2023-10-18,7.7
2023-10-19,20.3
2023-10-20,4.0
2023-10-21,19.1
2023-10-22,29.5
2023-10-23,24.0
2023-10-24,11.4
2023-10-25,16.0
2023-10-26,10.0
2023-10-27,12.2
2023-10-28,4.3
2023-10-29,29.3
2023-10-30,0.0
2023-10-31,15.4
2023-11-01,29.6
2023-11-02,24.5
2023-11-03,18.3
2023-11-04,26.9
2023-11-05,4.6
2023-11-06,9.1
2023-11-07,12.9
2023-11-08,27.8
2023-11-09,1.4
2023-11-10,5.1
2023-11-11,8.0
2023-11-12,2.0
2023-11-13,24.4
2023-11-14,0.7
2023-11-15,5.9
2023-11-16,5.0
2023-11-17,20.9
2023-11-18,5.1
2023-11-19,4.7
2023-11-20,23.5
2023-11-21,7.6
2023-11-22,18.1
2023-11-23,19.2
2023-11-24,20.8
2023-11-25,14.2
2023-11-26,14.3
2023-11-27,24.8
2023-11-28,0.2
2023-11-29,15.2
2023-11-30,28.7
2023-12-01,9.6
2023-12-02,21.2
2023-12-03,28.7
2023-12-04,0.1
2023-12-05,28.8
2023-12-06,18.9
2023-12-07,17.1
2023-12-08,22.0
2023-12-09,13.2
2023-12-10,20.0
2023-12-11,16.4
2023-12-12,2.6
2023-12-13,10.2
2023-12-14,19.9
2023-12-15,9.0
2023-12-16,6.5
2023-12-17,4.9
2023-12-18,5.4
2023-12-19,10.1
2023-12-20,13.4
2023-12-21,1.5
2023-12-22,13.1
2023-12-23,20.4
2023-12-24,21.7
2023-12-25,23.7
2023-12-26,19.7
2023-12-27,18.1
2023-12-28,7.5
2023-12-29,16.6
2023-12-30,20.2
2023-12-31,4.4
2024-01-01,18.2
2024-01-02,26.9
2024-01-03,24.9
2024-01-04,4.7
2024-01-05,16.7
2024-01-06,12.4
2024-01-07,24.0
2024-01-08,11.1
2024-01-09,21.9
2024-01-10,25.5
2024-01-11,1.5
2024-01-12,12.3
2024-01-13,4.8
2024-01-14,26.5
2024-01-15,6.2
2024-01-16,25.5
2024-01-17,11.8
2024-01-18,4.7
2024-01-19,8.8
2024-01-20,11.2
2024-01-21,16.5
2024-01-22,24.2
2024-01-23,22.7
2024-01-24,7.3
2024-01-25,19.1
2024-01-26,9.0
2024-01-27,15.8
2024-01-28,4.8
2024-01-29,19.9
2024-01-30,26.2
2024-01-31,28.9
2024-02-01,18.2
2024-02-02,4.9
2024-02-03,20.3
2024-02-04,19.7
2024-02-05,27.0
2024-02-06,4.9
2024-02-07,5.2
2024-02-08,29.4
2024-02-09,10.4
2024-02-10,12.3
2024-02-11,2.8
2024-02-12,21.9
2024-02-13,25.6
2024-02-14,8.7
2024-02-15,24.3
2024-02-16,20.6
2024-02-17,9.0
2024-02-18,20.9
2024-02-19,18.4
2024-02-20,24.1
2024-02-21,22.9
2024-02-22,10.3
2024-02-23,16.8
2024-02-24,5.4
2024-02-25,19.3
2024-02-26,26.9
2024-02-27,11.4
2024-02-28,27.8
2024-02-29,26.2
2024-03-01,6.0
2024-03-02,24.7
2024-03-03,4.3
2024-03-04,2.9
2024-03-05,8.4
2024-03-06,27.0
2024-03-07,6.3
