date,temperature
2023-06-10,25.5
2023-06-11,8.2
2023-06-12,25.3
2023-06-13,0.6
2023-06-14,6.4
2023-06-15,2.4
2023-06-16,17.7
2023-06-17,13.2
2023-06-18,20.1
2023-06-19,20.0
2023-06-20,16.6
2023-06-21,7.7
2023-06-22,9.9
2023-06-23,9.7
2023-06-24,4.9
2023-06-25,27.8
2023-06-26,9.0
2023-06-27,18.1
2023-06-28,14.9
2023-06-29,15.5
2023-06-30,25.2
2023-07-01,7.5
2023-07-02,19.5
2023-07-03,14.4
2023-07-04,28.0
2023-07-05,11.1
2023-07-06,20.7
2023-07-07,23.2
2023-07-08,25.3
2023-07-09,3.2
2023-07-10,11.5
2023-07-11,22.8
2023-07-12,26.2
2023-07-13,8.8
2023-07-14,2.2
2023-07-15,22.1
2023-07-16,20.1
2023-07-17,2.2
2023-07-18,3.5
2023-07-19,26.9
2023-07-20,2.6
2023-07-21,7.6
2023-07-22,5.4
2023-07-23,4.4
2023-07-24,17.3
2023-07-25,15.7
2023-07-26,11.0
2023-07-27,13.7
2023-07-28,12.2
2023-07-29,12.0
2023-07-30,10.8
2023-07-31,13.8
2023-08-01,7.8
2023-08-02,21.3
2023-08-03,13.8
2023-08-04,24.2
2023-08-05,26.2
2023-08-06,10.1
2023-08-07,3.5
2023-08-08,12.2
2023-08-09,21.3
2023-08-10,17.4
2023-08-11,10.7
2023-08-12,17.4
2023-08-13,21.4
2023-08-14,1.6
2023-08-15,20.2
2023-08-16,28.2
2023-08-17,15.6
2023-08-18,18.9
2023-08-19,27.1
2023-08-20,27.8
2023-08-21,11.4
2023-08-22,13.7
2023-08-23,18.5
2023-08-24,6.8
2023-08-25,28.2
2023-08-26,11.6
2023-08-27,2.9
2023-08-28,21.0
2023-08-29,9.7
2023-08-30,9.7
2023-08-31,12.3
2023-09-01,0.0
2023-09-02,23.1
2023-09-03,1.2
2023-09-04,24.7
2023-09-05,24.7
2023-09-06,11.9
2023-09-07,9.6
2023-09-08,29.6
2023-09-09,10.3
2023-09-10,16.9
2023-09-11,8.4
2023-09-12,18.0
2023-09-13,22.9
2023-09-14,10.5
2023-09-15,8.0
