date,temperature
2023-06-10,28.8
2023-06-11,24.0
2023-06-12,23.5
2023-06-13,29.7
2023-06-14,10.4
2023-06-15,39.1
2023-06-16,25.1
2023-06-17,20.0
2023-06-18,12.6
2023-06-19,32.7
2023-06-20,23.3
2023-06-21,17.1
2023-06-22,14.2
2023-06-23,24.6
2023-06-24,11.3
2023-06-25,11.8
2023-06-26,14.4
2023-06-27,14.8
2023-06-28,20.1
2023-06-29,24.3
2023-06-30,16.2
2023-07-01,34.6
2023-07-02,20.2
2023-07-03,29.1
2023-07-04,21.9
2023-07-05,11.8
2023-07-06,13.6
2023-07-07,40.0
2023-07-08,32.3
2023-07-09,30.9
2023-07-10,30.3
2023-07-11,18.3
2023-07-12,10.2
2023-07-13,35.5
2023-07-14,35.6
2023-07-15,19.2
2023-07-16,39.7
2023-07-17,28.9
2023-07-18,14.0
2023-07-19,16.1
2023-07-20,18.4
2023-07-21,36.5
2023-07-22,16.1
2023-07-23,32.9
2023-07-24,16.8
2023-07-25,15.3
2023-07-26,14.3
2023-07-27,28.9
2023-07-28,19.0
2023-07-29,33.7
2023-07-30,18.4
2023-07-31,20.5
2023-08-01,38.3
2023-08-02,29.5
2023-08-03,31.2
2023-08-04,27.7
2023-08-05,12.1
2023-08-06,10.7
2023-08-07,23.8
2023-08-08,33.6
2023-08-09,37.7
2023-08-10,18.5
2023-08-11,11.9
2023-08-12,31.5
2023-08-13,31.1
2023-08-14,37.7
2023-08-15,23.0
2023-08-16,18.2
2023-08-17,14.8
2023-08-18,20.8
2023-08-19,36.4
2023-08-20,16.6
2023-08-21,18.2
2023-08-22,31.2
2023-08-23,24.4
2023-08-24,23.7
2023-08-25,14.9
2023-08-26,32.2
2023-08-27,14.2
2023-08-28,25.2
2023-08-29,31.1
2023-08-30,16.2
2023-08-31,26.6
2023-09-01,22.6
2023-09-02,30.2
2023-09-03,38.8
2023-09-04,25.9
2023-09-05,13.0
2023-09-06,39.4
2023-09-07,26.8
2023-09-08,35.3
2023-09-09,10.2
2023-09-10,31.6
2023-09-11,38.9
2023-09-12,25.1
2023-09-13,16.9
2023-09-14,32.1
2023-09-15,33.4
2023-09-16,24.5
2023-09-17,36.6
2023-09-18,23.6
2023-09-19,11.6
2023-09-20,12.0
2023-09-21,30.3
2023-09-22,21.4
2023-09-23,36.7
2023-09-24,10.1
2023-09-25,17.1
2023-09-26,27.5
2023-09-27,30.2
2023-09-28,35.2
2023-09-29,33.3
2023-09-30,27.8
2023-10-01,10.8
2023-10-02,14.3
2023-10-03,30.1
2023-10-04,39.0
2023-10-05,15.0
2023-10-06,20.3
2023-10-07,12.0
2023-10-08,15.8
2023-10-09,39.7
2023-10-10,36.9
2023-10-11,10.9
2023-10-12,23.3
2023-10-13,39.5
2023-10-14,35.4
2023-10-15,14.2
2023-10-16,23.6
2023-10-17,21.7
2023-10-18,18.2
2023-10-19,11.8
2023-10-20,24.2
2023-10-21,19.6
2023-10-22,21.9
2023-10-23,21.8
2023-10-24,20.3
2023-10-25,22.1
2023-10-26,28.9
2023-10-27,26.0
2023-10-28,24.6
2023-10-29,21.9
2023-10-30,23.2
2023-10-31,27.8
2023-11-01,25.5
2023-11-02,24.2
2023-11-03,33.0
2023-11-04,32.8
2023-11-05,17.4
2023-11-06,20.5
2023-11-07,26.7
2023-11-08,27.9
2023-11-09,28.5
2023-11-10,33.0
2023-11-11,38.7
2023-11-12,34.4
2023-11-13,18.5
2023-11-14,25.8
2023-11-15,34.0
2023-11-16,39.4
2023-11-17,29.9
2023-11-18,36.2
2023-11-19,23.2
2023-11-20,18.5
2023-11-21,12.9
2023-11-22,29.9
2023-11-23,35.7
2023-11-24,26.7
2023-11-25,21.2
2023-11-26,20.7
2023-11-27,27.5
2023-11-28,29.4
2023-11-29,31.8
2023-11-30,29.9
2023-12-01,15.8
2023-12-02,14.2
2023-12-03,23.1
2023-12-04,29.0
2023-12-05,27.4
2023-12-06,32.8
2023-12-07,26.5
2023-12-08,36.7
2023-12-09,38.1
2023-12-10,16.4
2023-12-11,17.4
2023-12-12,17.7
2023-12-13,26.0
2023-12-14,24.2
2023-12-15,27.6
2023-12-16,22.0
2023-12-17,15.6
2023-12-18,30.6
2023-12-19,20.5
2023-12-20,37.2
2023-12-21,36.5
2023-12-22,37.3
2023-12-23,24.1
2023-12-24,19.0
2023-12-25,34.1
2023-12-26,12.8
2023-12-27,11.3
2023-12-28,30.4
2023-12-29,19.3
2023-12-30,38.4
2023-12-31,27.2
2024-01-01,13.9
2024-01-02,15.4
2024-01-03,28.4
2024-01-04,32.0
2024-01-05,37.0
2024-01-06,38.9
2024-01-07,12.4
2024-01-08,29.9
2024-01-09,33.1
2024-01-10,17.4
2024-01-11,11.9
2024-01-12,19.2
2024-01-13,19.0
2024-01-14,11.8
2024-01-15,21.7
2024-01-16,20.0
2024-01-17,11.8
2024-01-18,16.9
2024-01-19,32.7
2024-01-20,11.4
2024-01-21,36.9
2024-01-22,34.7
2024-01-23,26.1
2024-01-24,10.9
2024-01-25,26.7
2024-01-26,37.0
2024-01-27,36.5
2024-01-28,29.2
2024-01-29,37.6
2024-01-30,15.3
2024-01-31,10.9
2024-02-01,38.5
2024-02-02,24.4
2024-02-03,24.8
2024-02-04,14.0
2024-02-05,39.7
2024-02-06,24.4
2024-02-07,15.6
2024-02-08,26.4
2024-02-09,12.3
2024-02-10,13.1
2024-02-11,34.1
2024-02-12,32.7
2024-02-13,37.7
2024-02-14,37.5
2024-02-15,10.8
2024-02-16,26.5
2024-02-17,26.0
2024-02-18,31.3
2024-02-19,11.2
2024-02-20,36.3
2024-02-21,14.9
2024-02-22,11.7
2024-02-23,14.0
2024-02-24,21.6
2024-02-25,25.6
2024-02-26,33.2
2024-02-27,36.1
2024-02-28,19.1
2024-02-29,19.9
2024-03-01,27.6
2024-03-02,32.5
2024-03-03,32.1
2024-03-04,25.5
2024-03-05,31.4
2024-03-06,30.7
2024-03-07,20.6
2024-03-08,29.3
2024-03-09,16.2
2024-03-10,14.8
2024-03-11,26.3
2024-03-12,37.6
2024-03-13,13.4
2024-03-14,35.5
2024-03-15,20.7
2024-03-16,13.7
2024-03-17,16.5
2024-03-18,31.3
2024-03-19,17.4
2024-03-20,13.9
2024-03-21,40.0
2024-03-22,32.1
2024-03-23,28.5
2024-03-24,33.2
2024-03-25,28.3
2024-03-26,27.8
2024-03-27,19.4
2024-03-28,22.8
2024-03-29,23.8
2024-03-30,12.4
2024-03-31,28.3
2024-04-01,25.4
2024-04-02,27.0
2024-04-03,30.0
2024-04-04,25.3
2024-04-05,17.3
2024-04-06,39.1
2024-04-07,19.7
2024-04-08,37.8
2024-04-09,23.2
2024-04-10,32.4
2024-04-11,16.6
2024-04-12,13.5
2024-04-13,30.9
2024-04-14,33.7
2024-04-15,10.5
2024-04-16,35.2
2024-04-17,21.4
2024-04-18,13.5
2024-04-19,19.6
2024-04-20,13.3
2024-04-21,26.5
2024-04-22,15.2
2024-04-23,20.3
