date,temperature
2023-06-10,34.1
2023-06-11,14.8
2023-06-12,14.6
2023-06-13,20.5
2023-06-14,32.2
2023-06-15,22.7
2023-06-16,34.8
2023-06-17,14.9
2023-06-18,30.4
2023-06-19,11.9
2023-06-20,22.3
2023-06-21,6.7
2023-06-22,6.7
2023-06-23,8.0
2023-06-24,27.3
2023-06-25,18.7
2023-06-26,13.1
2023-06-27,12.5
2023-06-28,28.1
2023-06-29,18.0
2023-06-30,30.1
2023-07-01,8.4
2023-07-02,12.6
2023-07-03,20.3
2023-07-04,5.8
2023-07-05,19.4
2023-07-06,23.4
2023-07-07,29.1
2023-07-08,17.8
2023-07-09,9.1
2023-07-10,33.2
2023-07-11,14.1
2023-07-12,23.7
2023-07-13,11.1
2023-07-14,12.8
2023-07-15,12.4
2023-07-16,19.5
2023-07-17,27.5
2023-07-18,26.6
2023-07-19,25.5
2023-07-20,24.8
2023-07-21,7.6
2023-07-22,7.8
2023-07-23,26.8
2023-07-24,16.4
2023-07-25,26.0
2023-07-26,18.9
2023-07-27,25.6
2023-07-28,20.8
2023-07-29,20.3
2023-07-30,29.5
2023-07-31,32.0
2023-08-01,12.5
2023-08-02,19.8
2023-08-03,6.1
2023-08-04,17.6
2023-08-05,31.5
2023-08-06,22.1
2023-08-07,21.2
2023-08-08,26.6
2023-08-09,28.4
2023-08-10,18.6
2023-08-11,10.6
2023-08-12,33.8
2023-08-13,17.0
2023-08-14,28.3
2023-08-15,25.4
2023-08-16,30.1
2023-08-17,15.3
2023-08-18,14.9
2023-08-19,13.7
2023-08-20,32.0
2023-08-21,14.7
2023-08-22,24.8
2023-08-23,14.4
2023-08-24,22.2
2023-08-25,30.0
2023-08-26,9.1
2023-08-27,15.1
2023-08-28,9.0
2023-08-29,24.9
2023-08-30,10.4
2023-08-31,25.4
2023-09-01,16.1
2023-09-02,20.1
2023-09-03,11.0
2023-09-04,33.8
2023-09-05,13.4
2023-09-06,19.6
2023-09-07,26.1
2023-09-08,31.7
2023-09-09,17.7
2023-09-10,27.8
2023-09-11,6.4
2023-09-12,33.5
2023-09-13,30.1
2023-09-14,29.3
2023-09-15,8.0
2023-09-16,14.5
2023-09-17,29.0
2023-09-18,14.5
2023-09-19,13.4
2023-09-20,16.0
2023-09-21,31.9
2023-09-22,20.3
2023-09-23,13.9
2023-09-24,11.4
2023-09-25,17.8
2023-09-26,18.8
2023-09-27,15.3
2023-09-28,14.4
2023-09-29,32.0
2023-09-30,7.2
2023-10-01,25.1
2023-10-02,34.1
2023-10-03,24.0
2023-10-04,31.9
2023-10-05,19.5
2023-10-06,24.2
2023-10-07,26.9
2023-10-08,6.3
2023-10-09,31.4
2023-10-10,26.8
2023-10-11,12.7
2023-10-12,27.1
2023-10-13,22.0
2023-10-14,21.3
2023-10-15,18.3
2023-10-16,29.6
2023-10-17,13.5
2023-10-18,28.8
2023-10-19,14.5
2023-10-20,33.9
2023-10-21,15.3
2023-10-22,8.7
2023-10-23,19.9
2023-10-24,22.3
2023-10-25,34.7
2023-10-26,18.8
2023-10-27,32.5
2023-10-28,27.0
2023-10-29,19.1
2023-10-30,7.3
2023-10-31,33.1
2023-11-01,15.2
2023-11-02,25.0
2023-11-03,6.9
2023-11-04,7.0
2023-11-05,23.3
2023-11-06,32.5
2023-11-07,16.5
2023-11-08,34.5
2023-11-09,12.8
2023-11-10,23.7
2023-11-11,34.3
2023-11-12,18.8
2023-11-13,9.4
2023-11-14,18.1
2023-11-15,32.1
2023-11-16,19.2
2023-11-17,15.3
2023-11-18,23.3
2023-11-19,18.8
2023-11-20,21.3
2023-11-21,23.4
2023-11-22,13.1
2023-11-23,7.0
2023-11-24,30.3
2023-11-25,27.4
2023-11-26,22.4
2023-11-27,25.1
2023-11-28,11.7
2023-11-29,9.4
2023-11-30,13.1
2023-12-01,5.5
2023-12-02,22.4
2023-12-03,15.1
2023-12-04,18.3
2023-12-05,7.0
2023-12-06,28.2
2023-12-07,27.3
2023-12-08,13.6
2023-12-09,18.4
2023-12-10,12.4
2023-12-11,12.9
2023-12-12,27.9
2023-12-13,23.3
2023-12-14,32.8
2023-12-15,34.1
2023-12-16,6.2
2023-12-17,26.8
2023-12-18,27.5
2023-12-19,30.2
2023-12-20,15.8
2023-12-21,11.6
2023-12-22,27.7
2023-12-23,19.5
2023-12-24,25.8
2023-12-25,23.8
2023-12-26,34.0
2023-12-27,21.9
2023-12-28,15.8
2023-12-29,27.7
2023-12-30,14.5
2023-12-31,13.4
2024-01-01,33.7
2024-01-02,19.6
2024-01-03,22.8
2024-01-04,12.1
2024-01-05,15.3
2024-01-06,26.5
2024-01-07,24.7
2024-01-08,13.6
2024-01-09,34.6
2024-01-10,14.1
2024-01-11,34.0
2024-01-12,7.8
2024-01-13,26.0
2024-01-14,18.5
2024-01-15,21.2
2024-01-16,15.2
2024-01-17,24.5
2024-01-18,25.1
2024-01-19,23.7
2024-01-20,28.1
2024-01-21,13.5
2024-01-22,21.1
2024-01-23,7.2
