date,temperature
2023-06-10,-13.2
2023-06-11,-11.0
2023-06-12,-14.6
2023-06-13,19.4
2023-06-14,13.6
2023-06-15,-9.1
2023-06-16,15.3
2023-06-17,4.2
2023-06-18,-7.3
2023-06-19,-6.3
2023-06-20,4.1
2023-06-21,8.4
2023-06-22,2.2
2023-06-23,12.7
2023-06-24,5.6
2023-06-25,-3.1
2023-06-26,-1.0
2023-06-27,-13.8
2023-06-28,-6.2
2023-06-29,-4.3
2023-06-30,-2.8
2023-07-01,-5.0
2023-07-02,-14.1
2023-07-03,-14.6
2023-07-04,3.3
2023-07-05,24.0
2023-07-06,14.9
2023-07-07,11.4
2023-07-08,-4.2
2023-07-09,5.0
2023-07-10,-10.6
2023-07-11,-6.2
2023-07-12,22.2
2023-07-13,1.4
2023-07-14,5.0
2023-07-15,-9.8
2023-07-16,-14.1
2023-07-17,19.9
2023-07-18,14.9
2023-07-19,-5.7
2023-07-20,-4.8
2023-07-21,10.7
2023-07-22,20.7
2023-07-23,18.8
2023-07-24,20.8
2023-07-25,18.5
2023-07-26,23.3
2023-07-27,-8.4
2023-07-28,-12.0
2023-07-29,14.8
2023-07-30,-7.9
2023-07-31,2.3
2023-08-01,-11.1
2023-08-02,-6.3
2023-08-03,-5.4
2023-08-04,11.5
2023-08-05,5.2
2023-08-06,0.3
2023-08-07,2.7
2023-08-08,7.2
2023-08-09,-6.6
2023-08-10,-2.7
2023-08-11,1.7
2023-08-12,8.0
2023-08-13,22.1
2023-08-14,24.3
2023-08-15,4.3
2023-08-16,12.6
2023-08-17,1.5
2023-08-18,22.1
2023-08-19,13.3
2023-08-20,20.1
2023-08-21,-13.4
2023-08-22,-13.3
2023-08-23,8.8
2023-08-24,19.6
2023-08-25,-6.6
2023-08-26,-14.6
2023-08-27,0.7
2023-08-28,19.6
2023-08-29,25.0
2023-08-30,-5.1
2023-08-31,5.7
2023-09-01,0.5
2023-09-02,16.2
2023-09-03,7.0
2023-09-04,19.9
2023-09-05,-9.6
2023-09-06,-5.2
2023-09-07,16.2
2023-09-08,6.0
2023-09-09,-14.8
2023-09-10,16.7
2023-09-11,5.0
2023-09-12,17.0
2023-09-13,-3.1
2023-09-14,13.2
2023-09-15,20.6
2023-09-16,-7.8
2023-09-17,24.9
2023-09-18,-5.9
2023-09-19,15.4
2023-09-20,-12.2
2023-09-21,-13.4
2023-09-22,9.6
2023-09-23,-10.3
2023-09-24,20.0
2023-09-25,14.3
2023-09-26,-14.1
2023-09-27,17.4
2023-09-28,7.4
2023-09-29,-4.0
2023-09-30,17.6
2023-10-01,-8.4
2023-10-02,21.9
2023-10-03,22.5
2023-10-04,21.1
2023-10-05,-3.2
2023-10-06,14.6
2023-10-07,-11.9
2023-10-08,10.7
2023-10-09,-6.6
2023-10-10,9.6
2023-10-11,0.8
2023-10-12,15.5
2023-10-13,-9.0
2023-10-14,1.8
2023-10-15,1.3
2023-10-16,-3.9
2023-10-17,-10.8
2023-10-18,-0.9
2023-10-19,21.1
2023-10-20,14.7
2023-10-21,-12.8
2023-10-22,23.6
2023-10-23,-0.4
2023-10-24,12.4
2023-10-25,-0.1
2023-10-26,-1.5
2023-10-27,19.3
2023-10-28,-11.7
2023-10-29,-1.8
2023-10-30,4.6
2023-10-31,7.3
2023-11-01,2.4
2023-11-02,13.8
2023-11-03,5.8
2023-11-04,9.9
2023-11-05,21.2
2023-11-06,-3.1
2023-11-07,13.6
2023-11-08,7.3
2023-11-09,8.2
2023-11-10,-8.3
2023-11-11,7.9
2023-11-12,-2.5
2023-11-13,8.8
2023-11-14,-8.3
2023-11-15,2.8
2023-11-16,9.1
2023-11-17,1.8
2023-11-18,14.3
2023-11-19,23.1
2023-11-20,13.2
2023-11-21,-7.5
2023-11-22,16.9
2023-11-23,12.7
2023-11-24,18.4
2023-11-25,13.9
2023-11-26,12.5
2023-11-27,21.1
2023-11-28,10.6
2023-11-29,5.5
2023-11-30,7.3
2023-12-01,12.3
2023-12-02,5.7
2023-12-03,-3.3
2023-12-04,-12.9
2023-12-05,5.0
2023-12-06,21.1
2023-12-07,2.2
2023-12-08,12.5
2023-12-09,2.2
2023-12-10,-14.1
2023-12-11,0.6
2023-12-12,-6.4
2023-12-13,21.0
2023-12-14,1.1
2023-12-15,1.7
2023-12-16,2.7
2023-12-17,-2.0
2023-12-18,-11.9
2023-12-19,-14.0
2023-12-20,5.8
2023-12-21,-0.2
2023-12-22,-8.4
2023-12-23,0.1
2023-12-24,3.6
2023-12-25,11.5
2023-12-26,14.1
2023-12-27,1.2
2023-12-28,10.9
2023-12-29,16.3
2023-12-30,19.6
2023-12-31,13.6
2024-01-01,6.6
2024-01-02,-5.2
2024-01-03,-9.9
2024-01-04,1.4
2024-01-05,19.3
2024-01-06,13.7
2024-01-07,7.8
2024-01-08,5.1
2024-01-09,13.1
2024-01-10,-11.0
2024-01-11,24.5
2024-01-12,14.4
2024-01-13,13.6
2024-01-14,15.0
2024-01-15,24.0
2024-01-16,22.2
2024-01-17,2.9
2024-01-18,-13.3
2024-01-19,18.7
2024-01-20,3.1
2024-01-21,6.7
2024-01-22,21.2
2024-01-23,0.9
2024-01-24,3.2
2024-01-25,8.9
2024-01-26,17.7
2024-01-27,-6.8
2024-01-28,1.8
2024-01-29,-14.0
2024-01-30,-0.9
2024-01-31,12.7
2024-02-01,18.9
2024-02-02,-14.2
2024-02-03,19.0
2024-02-04,-4.1
2024-02-05,8.6
2024-02-06,2.8
2024-02-07,-8.6
2024-02-08,19.9
2024-02-09,-11.3
2024-02-10,-5.3
2024-02-11,17.9
2024-02-12,18.3
2024-02-13,-9.8
2024-02-14,-10.5
2024-02-15,-4.2
2024-02-16,7.8
2024-02-17,-5.4
2024-02-18,21.7
2024-02-19,-12.0
2024-02-20,19.5
2024-02-21,20.1
2024-02-22,-13.3
2024-02-23,-3.2
2024-02-24,-4.7
2024-02-25,-7.8
2024-02-26,14.9
2024-02-27,10.0
2024-02-28,21.2
2024-02-29,9.8
2024-03-01,23.3
2024-03-02,1.2
2024-03-03,16.3
2024-03-04,-8.3
2024-03-05,1.6
2024-03-06,10.4
2024-03-07,-14.5
2024-03-08,20.6
2024-03-09,5.5
2024-03-10,1.3
2024-03-11,15.0
2024-03-12,15.2
2024-03-13,13.8
2024-03-14,-9.8
2024-03-15,13.3
2024-03-16,10.5
2024-03-17,16.2
2024-03-18,19.9
2024-03-19,-12.7
2024-03-20,-13.4
2024-03-21,23.8
2024-03-22,-7.0
2024-03-23,15.0
2024-03-24,-8.5
2024-03-25,-0.6
2024-03-26,-1.7
2024-03-27,5.6
2024-03-28,4.1
2024-03-29,16.7
2024-03-30,-2.9
2024-03-31,18.2
2024-04-01,-9.5
2024-04-02,-7.5
2024-04-03,11.1
2024-04-04,6.1
2024-04-05,14.0
2024-04-06,24.2
2024-04-07,-3.9
2024-04-08,-12.1
2024-04-09,10.2
2024-04-10,4.5
2024-04-11,-1.6
2024-04-12,0.1
2024-04-13,2.3
2024-04-14,-14.8
2024-04-15,15.4
2024-04-16,-11.8
2024-04-17,5.7
2024-04-18,3.7
2024-04-19,24.7
2024-04-20,2.2
2024-04-21,4.1
2024-04-22,-12.8
2024-04-23,8.3
2024-04-24,-12.0
2024-04-25,-5.1
2024-04-26,5.6
2024-04-27,-10.7
2024-04-28,-13.7
2024-04-29,-8.1
2024-04-30,5.8
2024-05-01,-6.9
2024-05-02,15.1
2024-05-03,24.5
2024-05-04,-6.8
2024-05-05,8.9
2024-05-06,-12.2
2024-05-07,-12.0
2024-05-08,-10.2
2024-05-09,-4.3
2024-05-10,2.7
2024-05-11,21.3
2024-05-12,-2.2
2024-05-13,-5.5
2024-05-14,-13.8
2024-05-15,-6.4
2024-05-16,-1.6
2024-05-17,-12.5
2024-05-18,-2.8
2024-05-19,14.5
2024-05-20,24.2
2024-05-21,-4.7
2024-05-22,16.2
2024-05-23,3.0
2024-05-24,-7.3
2024-05-25,2.3
2024-05-26,-2.1
2024-05-27,-13.9
2024-05-28,9.1
2024-05-29,2.4
2024-05-30,21.1
2024-05-31,19.3
2024-06-01,3.7
2024-06-02,4.9
2024-06-03,-12.3
2024-06-04,-14.1
2024-06-05,5.7
2024-06-06,-2.5
2024-06-07,2.1
2024-06-08,-0.7
2024-06-09,17.8
2024-06-10,15.0
2024-06-11,8.9
2024-06-12,6.2
2024-06-13,11.6
2024-06-14,6.2
2024-06-15,-14.3
2024-06-16,14.4
2024-06-17,22.0
2024-06-18,18.7
2024-06-19,4.4
2024-06-20,12.2
2024-06-21,9.4
2024-06-22,22.8
2024-06-23,23.3
2024-06-24,-1.1
2024-06-25,10.8
2024-06-26,-12.9
2024-06-27,-4.8
2024-06-28,22.0
2024-06-29,-5.3
