date,temperature
2023-06-10,11.7
2023-06-11,3.1
2023-06-12,2.4
2023-06-13,3.2
2023-06-14,5.0
2023-06-15,0.1
2023-06-16,10.8
2023-06-17,27.0
2023-06-18,29.4
2023-06-19,13.3
2023-06-20,27.9
2023-06-21,1.4
2023-06-22,4.5
2023-06-23,8.9
2023-06-24,20.6
2023-06-25,19.2
2023-06-26,5.2
2023-06-27,3.4
2023-06-28,12.1
2023-06-29,0.6
2023-06-30,19.5
2023-07-01,21.1
2023-07-02,9.8
2023-07-03,7.6
2023-07-04,4.3
2023-07-05,9.5
2023-07-06,18.7
2023-07-07,25.2
2023-07-08,5.0
2023-07-09,27.2
2023-07-10,10.4
2023-07-11,18.1
2023-07-12,8.2
2023-07-13,23.3
2023-07-14,14.1
2023-07-15,23.3
2023-07-16,10.7
2023-07-17,14.8
2023-07-18,25.1
2023-07-19,24.1
2023-07-20,23.0
2023-07-21,7.4
2023-07-22,26.5
2023-07-23,26.9
2023-07-24,19.8
2023-07-25,12.4
2023-07-26,5.3
2023-07-27,23.9
2023-07-28,3.0
2023-07-29,18.2
2023-07-30,25.8
2023-07-31,22.1
2023-08-01,11.4
2023-08-02,18.9
2023-08-03,0.6
2023-08-04,0.7
2023-08-05,27.1
2023-08-06,6.5
2023-08-07,12.1
2023-08-08,11.6
2023-08-09,17.4
2023-08-10,15.1
2023-08-11,28.1
2023-08-12,6.1
2023-08-13,11.2
2023-08-14,1.4
2023-08-15,22.0
2023-08-16,21.3
2023-08-17,24.7
2023-08-18,8.5
2023-08-19,26.4
2023-08-20,2.4
2023-08-21,1.5
2023-08-22,9.2
2023-08-23,2.4
2023-08-24,3.6
2023-08-25,21.3
2023-08-26,4.5
2023-08-27,9.4
2023-08-28,0.3
2023-08-29,14.2
2023-08-30,26.6
2023-08-31,25.8
2023-09-01,1.1
2023-09-02,13.7
2023-09-03,22.6
2023-09-04,19.5
2023-09-05,11.9
2023-09-06,21.7
2023-09-07,28.4
2023-09-08,2.5
2023-09-09,16.9
2023-09-10,6.3
2023-09-11,0.6
2023-09-12,23.0
2023-09-13,29.4
2023-09-14,8.5
2023-09-15,8.5
2023-09-16,17.7
2023-09-17,23.9
2023-09-18,17.1
2023-09-19,8.3
2023-09-20,22.7
2023-09-21,0.5
2023-09-22,29.8
2023-09-23,14.6
2023-09-24,17.4
2023-09-25,5.7
2023-09-26,1.5
2023-09-27,17.1
2023-09-28,25.9
2023-09-29,20.9
2023-09-30,1.9
2023-10-01,9.4
2023-10-02,10.3
2023-10-03,4.9
2023-10-04,24.6
2023-10-05,11.5
2023-10-06,24.4
2023-10-07,12.4
2023-10-08,16.8
2023-10-09,19.3
2023-10-10,3.9
2023-10-11,22.9
2023-10-12,2.5
2023-10-13,8.3
2023-10-14,23.2
2023-10-15,11.4
2023-10-16,19.5
2023-10-17,5.2
2023-10-18,24.3
2023-10-19,18.2
2023-10-20,8.3
2023-10-21,29.8
2023-10-22,0.7
2023-10-23,29.9
2023-10-24,25.6
2023-10-25,3.4
2023-10-26,2.4
2023-10-27,18.1
2023-10-28,16.2
2023-10-29,16.8
2023-10-30,22.3
2023-10-31,9.3
2023-11-01,2.0
2023-11-02,8.1
2023-11-03,11.0
2023-11-04,20.1
2023-11-05,13.7
2023-11-06,24.1
2023-11-07,16.1
2023-11-08,21.4
2023-11-09,26.1
2023-11-10,0.3
2023-11-11,4.5
2023-11-12,24.5
2023-11-13,12.8
2023-11-14,26.2
2023-11-15,22.5
2023-11-16,2.2
2023-11-17,23.6
2023-11-18,8.8
2023-11-19,27.4
2023-11-20,26.7
2023-11-21,23.3
2023-11-22,19.7
2023-11-23,9.2
2023-11-24,15.7
2023-11-25,16.4
2023-11-26,6.2
2023-11-27,21.8
2023-11-28,16.9
2023-11-29,11.0
2023-11-30,13.5
2023-12-01,9.7
2023-12-02,16.4
2023-12-03,3.8
2023-12-04,21.9
2023-12-05,24.9
2023-12-06,11.2
2023-12-07,13.9
2023-12-08,22.5
2023-12-09,0.2
2023-12-10,3.2
2023-12-11,6.9
2023-12-12,23.7
2023-12-13,14.0
2023-12-14,10.9
2023-12-15,25.6
2023-12-16,9.5
2023-12-17,8.2
2023-12-18,15.9
2023-12-19,0.8
2023-12-20,14.4
2023-12-21,16.4
2023-12-22,0.7
2023-12-23,13.0
2023-12-24,23.0
2023-12-25,22.6
2023-12-26,26.6
2023-12-27,1.8
2023-12-28,13.2
2023-12-29,27.3
2023-12-30,25.5
2023-12-31,6.0
2024-01-01,20.1
2024-01-02,17.5
2024-01-03,26.4
2024-01-04,26.3
2024-01-05,18.9
2024-01-06,9.7
2024-01-07,15.1
2024-01-08,0.0
2024-01-09,18.1
2024-01-10,0.1
2024-01-11,3.1
2024-01-12,2.0
2024-01-13,16.9
2024-01-14,16.2
2024-01-15,4.2
