date,temperature
2023-06-10,12.8
2023-06-11,9.3
2023-06-12,-12.6
2023-06-13,12.5
2023-06-14,-8.3
2023-06-15,-14.6
2023-06-16,2.8
2023-06-17,13.9
2023-06-18,-0.9
2023-06-19,6.1
2023-06-20,16.5
2023-06-21,-14.9
2023-06-22,-3.2
2023-06-23,-7.0
2023-06-24,-11.9
2023-06-25,-12.4
2023-06-26,-5.7
2023-06-27,22.1
2023-06-28,5.4
2023-06-29,17.5
2023-06-30,-4.1
2023-07-01,-0.5
2023-07-02,18.0
2023-07-03,6.9
2023-07-04,13.7
2023-07-05,22.3
2023-07-06,15.4
2023-07-07,-5.0
2023-07-08,-10.4
2023-07-09,9.2
2023-07-10,-7.0
2023-07-11,-5.2
2023-07-12,-4.6
2023-07-13,-14.9
2023-07-14,7.1
2023-07-15,5.3
2023-07-16,-11.3
2023-07-17,-7.5
2023-07-18,8.1
2023-07-19,-14.9
2023-07-20,12.8
2023-07-21,-14.6
2023-07-22,13.6
2023-07-23,18.8
2023-07-24,-12.1
2023-07-25,14.3
2023-07-26,16.3
2023-07-27,-3.0
2023-07-28,21.8
2023-07-29,-1.1
2023-07-30,16.8
2023-07-31,-13.7
2023-08-01,-10.1
2023-08-02,-14.5
2023-08-03,4.3
2023-08-04,-0.3
2023-08-05,7.5
2023-08-06,-8.1
2023-08-07,-3.7
2023-08-08,-0.9
2023-08-09,20.5
2023-08-10,14.7
2023-08-11,23.9
2023-08-12,13.0
2023-08-13,19.8
2023-08-14,-8.0
2023-08-15,-10.7
2023-08-16,4.9
2023-08-17,16.2
2023-08-18,2.1
2023-08-19,18.2
2023-08-20,14.5
2023-08-21,1.0
2023-08-22,5.3
2023-08-23,18.2
2023-08-24,14.0
2023-08-25,13.4
2023-08-26,-0.5
2023-08-27,-10.0
2023-08-28,14.2
2023-08-29,23.1
2023-08-30,19.4
2023-08-31,23.6
2023-09-01,3.0
2023-09-02,7.9
2023-09-03,-9.6
2023-09-04,7.5
2023-09-05,9.9
2023-09-06,-8.8
2023-09-07,22.7
2023-09-08,16.0
2023-09-09,21.7
2023-09-10,15.4
2023-09-11,1.9
2023-09-12,10.6
2023-09-13,8.7
2023-09-14,-15.0
2023-09-15,19.2
2023-09-16,-8.6
2023-09-17,24.4
2023-09-18,18.8
2023-09-19,22.6
2023-09-20,14.8
2023-09-21,1.6
2023-09-22,23.9
2023-09-23,-2.9
2023-09-24,4.9
2023-09-25,-9.9
2023-09-26,22.1
2023-09-27,-1.6
2023-09-28,8.4
2023-09-29,-6.5
2023-09-30,23.4
2023-10-01,4.3
2023-10-02,15.5
2023-10-03,13.9
2023-10-04,-10.4
2023-10-05,-7.4
2023-10-06,-0.9
2023-10-07,21.2
2023-10-08,7.1
2023-10-09,13.6
2023-10-10,4.1
2023-10-11,-6.4
2023-10-12,16.8
2023-10-13,24.3
2023-10-14,24.1
2023-10-15,18.1
2023-10-16,2.3
2023-10-17,-2.8
2023-10-18,5.3
2023-10-19,-13.8
2023-10-20,17.1
2023-10-21,17.5
2023-10-22,-11.7
2023-10-23,2.0
2023-10-24,17.4
2023-10-25,-2.7
2023-10-26,4.8
2023-10-27,-2.9
2023-10-28,0.9
2023-10-29,-4.6
2023-10-30,2.6
2023-10-31,14.9
2023-11-01,-4.0
2023-11-02,17.1
2023-11-03,15.9
2023-11-04,-6.4
2023-11-05,-9.6
2023-11-06,-12.6
2023-11-07,10.7
2023-11-08,-4.8
2023-11-09,-6.5
2023-11-10,-13.1
2023-11-11,19.7
2023-11-12,14.2
2023-11-13,2.4
2023-11-14,-1.6
2023-11-15,17.6
2023-11-16,-8.2
2023-11-17,24.5
2023-11-18,17.1
2023-11-19,-8.5
2023-11-20,-9.9
2023-11-21,2.3
2023-11-22,21.4
2023-11-23,17.9
2023-11-24,-3.2
2023-11-25,16.7
2023-11-26,19.0
2023-11-27,-12.4
2023-11-28,5.8
2023-11-29,-12.7
2023-11-30,-4.2
2023-12-01,9.3
2023-12-02,20.3
2023-12-03,0.7
2023-12-04,-4.0
2023-12-05,22.5
2023-12-06,-13.9
2023-12-07,-13.7
2023-12-08,8.5
2023-12-09,-3.9
2023-12-10,-0.5
2023-12-11,-10.0
2023-12-12,-12.2
2023-12-13,5.0
2023-12-14,22.2
2023-12-15,3.1
2023-12-16,15.7
2023-12-17,12.5
2023-12-18,18.5
2023-12-19,-12.5
2023-12-20,-5.3
2023-12-21,17.6
2023-12-22,-10.5
2023-12-23,0.8
2023-12-24,19.6
2023-12-25,2.2
2023-12-26,21.1
2023-12-27,22.5
2023-12-28,-3.3
2023-12-29,16.7
2023-12-30,13.0
2023-12-31,-9.2
2024-01-01,-2.3
2024-01-02,-6.9
2024-01-03,-10.9
2024-01-04,9.6
2024-01-05,-13.0
2024-01-06,15.2
2024-01-07,-6.8
2024-01-08,16.0
2024-01-09,22.9
2024-01-10,-14.8
2024-01-11,3.2
2024-01-12,17.6
2024-01-13,-3.5
2024-01-14,-9.7
2024-01-15,3.0
2024-01-16,21.7
2024-01-17,9.2
2024-01-18,18.7
2024-01-19,-8.3
2024-01-20,-9.2
2024-01-21,13.8
2024-01-22,6.2
2024-01-23,-3.8
2024-01-24,-13.7
2024-01-25,-14.3
2024-01-26,10.2
2024-01-27,-3.7
2024-01-28,-4.5
2024-01-29,15.1
2024-01-30,14.8
2024-01-31,13.7
2024-02-01,23.5
2024-02-02,5.7
2024-02-03,-12.2
2024-02-04,-14.7
2024-02-05,13.7
2024-02-06,-4.0
2024-02-07,-12.2
2024-02-08,20.3
2024-02-09,-3.5
2024-02-10,-7.9
2024-02-11,22.4
2024-02-12,-3.3
2024-02-13,3.1
2024-02-14,8.3
2024-02-15,16.0
2024-02-16,-12.8
2024-02-17,-12.0
2024-02-18,19.7
2024-02-19,10.7
2024-02-20,-14.8
2024-02-21,-8.0
2024-02-22,-10.7
2024-02-23,-1.9
2024-02-24,15.8
2024-02-25,-5.2
2024-02-26,18.8
2024-02-27,-13.7
2024-02-28,-10.6
2024-02-29,16.4
2024-03-01,-0.1
2024-03-02,-0.5
2024-03-03,23.7
2024-03-04,21.7
2024-03-05,2.8
2024-03-06,-2.2
2024-03-07,1.4
2024-03-08,18.5
2024-03-09,-1.9
2024-03-10,8.9
2024-03-11,0.5
2024-03-12,24.3
2024-03-13,24.2
2024-03-14,-4.5
2024-03-15,2.1
2024-03-16,-3.4
2024-03-17,13.9
2024-03-18,24.4
2024-03-19,-4.1
2024-03-20,5.9
2024-03-21,-12.7
2024-03-22,8.4
2024-03-23,-1.9
2024-03-24,-8.8
2024-03-25,8.8
2024-03-26,5.0
2024-03-27,-2.1
2024-03-28,-7.8
2024-03-29,-0.5
2024-03-30,-14.2
2024-03-31,8.7
2024-04-01,9.1
2024-04-02,22.0
2024-04-03,22.6
2024-04-04,23.7
2024-04-05,6.4
2024-04-06,20.4
2024-04-07,-8.5
2024-04-08,20.8
2024-04-09,-4.4
2024-04-10,4.5
2024-04-11,18.7
2024-04-12,3.6
2024-04-13,5.3
2024-04-14,-0.1
2024-04-15,-3.7
2024-04-16,24.2
2024-04-17,0.7
2024-04-18,1.1
2024-04-19,13.6
2024-04-20,-14.7
2024-04-21,9.7
2024-04-22,7.0
2024-04-23,-6.5
2024-04-24,-1.7
2024-04-25,19.1
2024-04-26,3.4
2024-04-27,21.4
2024-04-28,9.5
2024-04-29,-13.0
2024-04-30,-11.5
2024-05-01,17.3
2024-05-02,22.8
2024-05-03,22.8
2024-05-04,-11.0
2024-05-05,8.0
2024-05-06,-7.3
2024-05-07,-9.7
2024-05-08,5.8
2024-05-09,-5.0
2024-05-10,-8.1
2024-05-11,0.2
2024-05-12,4.4
2024-05-13,21.0
2024-05-14,15.6
2024-05-15,-7.7
2024-05-16,17.9
2024-05-17,0.9
2024-05-18,15.1
2024-05-19,12.2
2024-05-20,6.7
2024-05-21,-14.7
2024-05-22,-1.8
2024-05-23,8.2
2024-05-24,-5.7
2024-05-25,0.3
2024-05-26,-13.4
2024-05-27,2.8
2024-05-28,-6.5
2024-05-29,9.9
2024-05-30,-0.4
2024-05-31,-0.9
2024-06-01,11.5
2024-06-02,-2.5
2024-06-03,-1.2
2024-06-04,13.7
2024-06-05,-13.1
2024-06-06,2.3
2024-06-07,1.9
2024-06-08,14.6
2024-06-09,-4.9
2024-06-10,14.1
2024-06-11,-14.8
2024-06-12,-7.1
2024-06-13,20.3
2024-06-14,18.4
2024-06-15,-6.9
2024-06-16,-0.4
2024-06-17,10.8
2024-06-18,0.9
2024-06-19,21.6
2024-06-20,22.2
2024-06-21,24.3
2024-06-22,-10.5
2024-06-23,4.4
2024-06-24,-5.9
2024-06-25,-10.1
2024-06-26,23.0
2024-06-27,-11.7
2024-06-28,18.2
2024-06-29,18.7
2024-06-30,19.5
2024-07-01,-5.5
2024-07-02,19.5
2024-07-03,-4.3
2024-07-04,-9.4
2024-07-05,24.1
2024-07-06,-1.3
2024-07-07,19.0
2024-07-08,-10.4
2024-07-09,-2.4
2024-07-10,-13.1
2024-07-11,2.3
2024-07-12,-8.1
2024-07-13,-9.6
2024-07-14,22.8
2024-07-15,14.2
2024-07-16,-6.9
2024-07-17,-3.9
2024-07-18,21.3
2024-07-19,1.7
2024-07-20,12.3
2024-07-21,-6.7
2024-07-22,2.7
2024-07-23,22.8
2024-07-24,15.9
2024-07-25,-5.2
2024-07-26,0.5
2024-07-27,6.8
2024-07-28,14.8
2024-07-29,-8.9
2024-07-30,18.5
2024-07-31,-8.9
2024-08-01,13.1
2024-08-02,1.7
2024-08-03,-13.5
2024-08-04,-2.7
2024-08-05,21.6
2024-08-06,3.4
2024-08-07,8.5
2024-08-08,8.4
2024-08-09,0.6
2024-08-10,5.8
2024-08-11,-10.3
2024-08-12,-14.6
2024-08-13,-11.4
2024-08-14,22.8
2024-08-15,-7.2
2024-08-16,20.2
2024-08-17,17.2
2024-08-18,23.9
2024-08-19,17.9
2024-08-20,-12.0
2024-08-21,11.4
2024-08-22,0.9
2024-08-23,-10.2
2024-08-24,-8.1
2024-08-25,21.9
2024-08-26,9.6
2024-08-27,20.5
2024-08-28,-4.3
2024-08-29,-2.6
2024-08-30,-8.0
2024-08-31,20.9
2024-09-01,21.3
2024-09-02,14.8
2024-09-03,-2.3
2024-09-04,21.2
2024-09-05,13.6
2024-09-06,-11.8
2024-09-07,21.6
2024-09-08,-2.6
2024-09-09,-14.8
2024-09-10,20.8
2024-09-11,-3.1
2024-09-12,-14.3
2024-09-13,19.6
2024-09-14,12.8
2024-09-15,-5.0
2024-09-16,-7.2
2024-09-17,9.5
2024-09-18,-3.2
2024-09-19,-13.0
2024-09-20,-9.4
2024-09-21,3.4
2024-09-22,-12.7
2024-09-23,7.4
2024-09-24,1.8
2024-09-25,-14.6
2024-09-26,11.1
2024-09-27,19.1
2024-09-28,1.6
2024-09-29,3.2
2024-09-30,-7.1
2024-10-01,5.7
2024-10-02,-4.9
2024-10-03,23.7
2024-10-04,11.0
2024-10-05,7.3
2024-10-06,-10.9
2024-10-07,-11.4
2024-10-08,24.3
2024-10-09,0.5
2024-10-10,0.3
2024-10-11,-10.9
2024-10-12,3.8
